project_name,location_x,location_map,location_y,location_match
Escala Salcedo,"Makati, Metro Manila","Bel-Air, Makati, Metro Manila","Bel-Air, Makati",True
Escala Salcedo,"Makati, Metro Manila","Bel-Air, Makati, Metro Manila","Salcedo Village, Makati",True
Escalades @20th Avenue,"Quezon City, Metro Manila","San Roque, Quezon City, Metro Manila","Quezon City, Metro Manila",True
Escalades East Tower,"Quezon City, Metro Manila","Pasong Tamo, Quezon City, Metro Manila",,True
Escalades South Metro,Metro Manila,"Salapan, San Juan, Metro Manila",,True
Escalades at 20th Avenue,"Quezon City, Metro Manila","Pasong Tamo, Quezon City, Metro Manila",,True
España Tower,,,"Sampaloc, Manila",False
Essensa East Forbes,,,"Fort Bonifacio, Taguig",False
Essensa Towers,"Taguig, Metro Manila","BGC, Taguig, Metro Manila","Fort Bonifacio, Taguig",True
Eton Baypark Manila,"Manila, Metro Manila","Tondo, Manila, Metro Manila","Tondo, Manila",True
Eton Parkview Greenbelt,"Makati, Metro Manila","Bangkal, Makati, Metro Manila","Bangkal, Makati",True
Eton Residences Greenbelt,"Makati, Metro Manila","San Lorenzo, Makati, Metro Manila",,True
Eton Tower Makati,,,"Legazpi Village, Makati",False
F1 City Center,,,"Fort Bonifacio, Taguig",False
Fairlane Residences,"Pasig, Metro Manila","Kapitolyo, Pasig, Metro Manila",,True
Fairway Tarraces,"Pasay, Metro Manila","Tugatog, Malabon, Metro Manila","Tugatog, Malabon",False
Fairway Terraces,"Pasay, Metro Manila","Barangay 97, Pasay, Metro Manila","Pasay, Metro Manila",True
Fairways Tower,"Taguig, Metro Manila","BGC, Taguig, Metro Manila","Fort Bonifacio, Taguig",True
Fame Residences,"Mandaluyong, Metro Manila","Highway Hills, Mandaluyong, Metro Manila","Highway Hills, Mandaluyong",True
Fame Residences,"Mandaluyong, Metro Manila","Highway Hills, Mandaluyong, Metro Manila","Wack-Wack Greenhills, Mandaluyong",True
Fern at Grass Residences,,,"Quezon City, Metro Manila",False
Field Residences,"Parañaque, Metro Manila","San Dionisio, Parañaque, Metro Manila","San Dionisio, Parañaque",True
Fifth Avenue Place,"Taguig, Metro Manila","BGC, Taguig, Metro Manila","Fort Bonifacio, Taguig",True
Flair Towers,"Mandaluyong, Metro Manila","Highway Hills, Mandaluyong, Metro Manila","Highway Hills, Mandaluyong",True
Flora Vista,"Quezon City, Metro Manila","Commonwealth, Quezon City, Metro Manila","Commonwealth, Quezon City",True
Forbes Tower Condominium,,,"Bel-Air, Makati",False
Forbestown Place at The Fort BGC,,,"Fort Bonifacio, Taguig",False
Forbeswood Heights,"Taguig, Metro Manila","Bagong Tanyag, Taguig, Metro Manila","Bagong Tanyag, Taguig",True
Forbeswood Heights,"Taguig, Metro Manila","Bagong Tanyag, Taguig, Metro Manila","Taguig, Metro Manila",True
Forbeswood Heights,"Taguig, Metro Manila","Bagong Tanyag, Taguig, Metro Manila","Fort Bonifacio, Taguig",True
Forbeswood Parklane,,,"Fort Bonifacio, Taguig",False
Fort Palm Spring,"Taguig, Metro Manila","Bagong Tanyag, Taguig, Metro Manila","Bagong Tanyag, Taguig",True
Fort Victoria,"Taguig, Metro Manila","BGC, Taguig, Metro Manila","Fort Bonifacio, Taguig",True
Fortis Residences,,,"Bangkal, Makati",False
Fortune Hill,"San Juan, Metro Manila","Addition Hills, San Juan, Metro Manila","Addition Hills, San Juan",True
Fountain Breeze,"Manila, Metro Manila","Tondo, Manila, Metro Manila",,True
Four Season Riviera,"Manila, Metro Manila","Binondo, Manila, Metro Manila","Binondo, Manila",True
Four Seasons Riviera,,,"Binondo, Manila",False
Francesca Tower 2,"Quezon City, Metro Manila","Ramon Magsaysay, Quezon City, Metro Manila",,True
Fraser Place Manila,"Makati, Metro Manila","Bangkal, Makati, Metro Manila","Bangkal, Makati",True
Futura Centro,,,"Santa Mesa, Manila",False
Future Point Plaza,,,"Diliman, Quezon City",False
GA Tower,,,"Malamig, Mandaluyong",False
GA Tower,,,"Boni Avenue, Mandaluyong",False
GA Tower Two,"Mandaluyong, Metro Manila","Addition Hills, Mandaluyong, Metro Manila",,True
GATEWAY GARDEN HEIGHTS (GGH),"Manila, Metro Manila","Quiapo, Manila, Metro Manila",,True
GOLFHILL GARDENS,"Quezon City, Metro Manila","Ramon Magsaysay, Quezon City, Metro Manila",,True
GRAND HYATT RESIDENCES,"Taguig, Metro Manila","BGC, Taguig, Metro Manila","Fort Bonifacio, Taguig",True
Galeria de Magallanes,,,"Makati, Metro Manila",False
Galleria Regency,,,"San Antonio, Pasig",False
Garden Court,"Taguig, Metro Manila","Western Bicutan, Taguig, Metro Manila",,True
Garden Towers,"Makati, Metro Manila","San Lorenzo, Makati, Metro Manila","Makati, Metro Manila",True
Garden Towers,"Makati, Metro Manila","San Lorenzo, Makati, Metro Manila","San Lorenzo, Makati",True
Garden Towers,"Makati, Metro Manila","San Lorenzo, Makati, Metro Manila","Ayala Avenue, Makati",True
Gardencourt Residences,,,"Taguig, Metro Manila",False
Gardencourt Residences at Arca South,,,"Taguig, Metro Manila",False
Gateway Garden Heights,"Mandaluyong, Metro Manila","Barangka Ilaya, Mandaluyong, Metro Manila","Barangka Ilaya, Mandaluyong",True
Gateway Garden Ridge,"Mandaluyong, Metro Manila","Plainview, Mandaluyong, Metro Manila","Barangka Ilaya, Mandaluyong",True
Gateway Regency,,,"Barangka Ilaya, Mandaluyong",False
Gateway Regency Studios,"Mandaluyong, Metro Manila","Barangka Ilaya, Mandaluyong, Metro Manila","Barangka Ilaya, Mandaluyong",True
Gem Residences,"Pasig, Metro Manila","Ugong, Pasig, Metro Manila",,True
Gentry Manor,,,"Tambo, Parañaque",False
Gilmore Tower,,,"New Manila, Quezon City",False
Glam Residences,"Quezon City, Metro Manila","South Triangle, Quezon City, Metro Manila","Diliman, Quezon City",True
Glam Residences,"Quezon City, Metro Manila","South Triangle, Quezon City, Metro Manila","South Triangle, Quezon City",True
Glam Residences,"Quezon City, Metro Manila","South Triangle, Quezon City, Metro Manila","Kamuning, Quezon City",True
Gold Residences,"Parañaque, Metro Manila","Santo Niño, Parañaque, Metro Manila","Santo Niño, Parañaque",True
Gold Residences,"Parañaque, Metro Manila","Santo Niño, Parañaque, Metro Manila","Tambo, Parañaque",True
Gold Residences,"Parañaque, Metro Manila","Santo Niño, Parañaque, Metro Manila","San Antonio, Parañaque",True
Goldland Millenia Suites,,,"Greenhills, San Juan",False
Goldland Plaza,,,"Greenhills, San Juan",False
Goldland Tower,,,"Greenhills, San Juan",False
Golf Hill Terraces,,,"Matandang Balara, Quezon City",False
Governor's Place,,,"Shaw Boulevard, Mandaluyong",False
Grace Residences,"Taguig, Metro Manila","Bagong Tanyag, Taguig, Metro Manila","Bagong Tanyag, Taguig",True
Grace Residences,"Taguig, Metro Manila","Bagong Tanyag, Taguig, Metro Manila","Ususan, Taguig",True
Grand Central Park,,,"Fort Bonifacio, Taguig",False
Grand Central Residences Tower I,"Mandaluyong, Metro Manila","Highway Hills, Mandaluyong, Metro Manila",,True
Grand Emerald Tower,"Pasig, Metro Manila","San Antonio, Pasig, Metro Manila",,True
Grand Hamptons,"Taguig, Metro Manila","Forbes Park North, Makati, Metro Manila","Fort Bonifacio, Taguig",False
Grand Hyatt Manila Residences,"Taguig, Metro Manila","BGC, Taguig, Metro Manila","Fort Bonifacio, Taguig",True
Grand Mesa Residences,,,"Fairview, Quezon City",False
Grand Residences España 2,"Manila, Metro Manila","Manila, Metro Manila",,True
Grand Riviera Suites,"Manila, Metro Manila","Ermita, Manila, Metro Manila","Ermita, Manila",True
Grand Soho Makati,"Makati, Metro Manila","Bel-Air, Makati, Metro Manila","Bel-Air, Makati",True
Grand Tower,,,"Malate, Manila",False
Grand Tower,,,"Bagumbayan, Quezon City",False
Grass Residences,"Quezon City, Metro Manila","Alicia, Quezon City, Metro Manila","Alicia, Quezon City",True
Grass Residences,"Quezon City, Metro Manila","Alicia, Quezon City, Metro Manila","Santo Cristo, Quezon City",True
Grass Residences,"Quezon City, Metro Manila","Alicia, Quezon City, Metro Manila","Quezon City, Metro Manila",True
Grass Residences,"Quezon City, Metro Manila","Alicia, Quezon City, Metro Manila","North Avenue, Quezon City",True
Grass Residences,"Quezon City, Metro Manila","Alicia, Quezon City, Metro Manila","Bagong Pag-Asa, Quezon City",True
Green Residences,"Manila, Metro Manila","Malate, Manila, Metro Manila","Malate, Manila",True
Green Residences,"Manila, Metro Manila","Malate, Manila, Metro Manila","Taft, Manila",True
Greenbelt Chancellor,"Makati, Metro Manila","San Lorenzo, Makati, Metro Manila","Legazpi Village, Makati",True
Greenbelt Chancellor,"Makati, Metro Manila","San Lorenzo, Makati, Metro Manila","San Lorenzo, Makati",True
Greenbelt Excelsior,,,"Legazpi Village, Makati",False
Greenbelt Hamilton,,,"Legazpi Village, Makati",False
Greenbelt Hamilton 2,"Makati, Metro Manila","San Lorenzo, Makati, Metro Manila",,True
Greenbelt Hamilton Tower 2,"Makati, Metro Manila","San Lorenzo, Makati, Metro Manila",,True
Greenbelt Hamilton Two,"Makati, Metro Manila","Bangkal, Makati, Metro Manila",,True
Greenbelt Madison,,,"Legazpi Village, Makati",False
Greenbelt Parkplace,"Makati, Metro Manila","Urdaneta, Makati, Metro Manila","Urdaneta, Makati",True
Greenbelt Radissons,,,"Legazpi Village, Makati",False
Greenhills Court,,,"Greenhills, San Juan",False
Greenhills Garden Square,,,"Bagong Lipunan Ng Crame, Quezon City",False
Greenhills Heights,,,"Pedro Cruz, San Juan",False
Greenhills Heights,,,"Greenhills, San Juan",False
Hacienda Balai,"Quezon City, Metro Manila","Barangay 177, Quezon City, Metro Manila","Kaligayahan, Quezon City",True
Hacienda Balai,"Quezon City, Metro Manila","Barangay 177, Quezon City, Metro Manila","Novaliches, Quezon City",True
Hampton Gardens,"Pasig, Metro Manila","Bagong Ilog, Pasig, Metro Manila",,True
Haraya Residences,,,"Project 4, Quezon City",False
Haraya Residences,,,"Rosario, Pasig",False
Harbour Park Residences,,,"Vergara, Mandaluyong",False
Hawthorne Heights,"Quezon City, Metro Manila","Loyola Heights, Quezon City, Metro Manila","Katipunan, Quezon City",True
Hawthorne Heights,"Quezon City, Metro Manila","Loyola Heights, Quezon City, Metro Manila","Loyola Heights, Quezon City",True
Heart Tower,,,"Bel-Air, Makati",False
Heritage Homes Marilao,,,"Bagong Silang, Caloocan",False
Hidalgo Place,"Makati, Metro Manila","Rockwell, Makati, Metro Manila","Makati, Metro Manila",True
Hidalgo Place,"Makati, Metro Manila","Rockwell, Makati, Metro Manila","Poblacion, Makati",True
High Park Towers,,,"Diliman, Quezon City",False
High Park Towers,,,"Bagong Pag-Asa, Quezon City",False
High Park at Vertis North,"Quezon City, Metro Manila","Bagong Pag-Asa, Quezon City, Metro Manila","Diliman, Quezon City",True
High Street South Block,"Taguig, Metro Manila","Pinagsama, Taguig, Metro Manila",,True
Hill Residences,,,"Novaliches, Quezon City",False
Hill Residences,,,"Nagkaisang Nayon, Quezon City",False
Hillsborough,,,"Alabang, Muntinlupa",False
Horizon Homes,,,"Fort Bonifacio, Taguig",False
Hotel 101 The Fort,,,"Pembo, Makati",False
I-Land Residences,,,"B.F. Homes, Parañaque",False
INFINA TOWERS,"Quezon City, Metro Manila","Marilag, Quezon City, Metro Manila","Marilag, Quezon City",True
Ibiza at Circulo Verde,"Quezon City, Metro Manila","Manggahan, Pasig, Metro Manila",,False
Ice Tower,,,"Pasay, Metro Manila",False
Icon Plaza,"Taguig, Metro Manila","BGC, Taguig, Metro Manila","Fort Bonifacio, Taguig",True
Icon Residences,"Taguig, Metro Manila","BGC, Taguig, Metro Manila","Fort Bonifacio, Taguig",True
Illumina Residences,"Pasig, Metro Manila","Bagong Ilog, Pasig, Metro Manila",,True
Illumina Residences Manila,"Manila, Metro Manila","Santa Mesa, Manila, Metro Manila","Santa Mesa, Manila",True
Imperial Plaza,,,"Don Galo, Parañaque",False
Isabelle de Valenzuela,"Valenzuela, Metro Manila","Isla, Valenzuela, Metro Manila","Marulas, Valenzuela",True
Isabelle de Valenzuela,"Valenzuela, Metro Manila","Isla, Valenzuela, Metro Manila","Isla, Valenzuela",True
Ivory Wood,"Taguig, Metro Manila","Bambang, Taguig, Metro Manila",,True
Jazz Residences,"Makati, Metro Manila","Bel-Air, Makati, Metro Manila","Bel-Air, Makati",True
Jazz Residences,"Makati, Metro Manila","Bel-Air, Makati, Metro Manila","Makati Avenue, Makati",True
Joya Lofts and Towers,"Makati, Metro Manila","Rockwell, Makati, Metro Manila","Makati, Metro Manila",True
Joya Lofts and Towers,"Makati, Metro Manila","Rockwell, Makati, Metro Manila","Rockwell, Makati",True
Joya Lofts and Towers,"Makati, Metro Manila","Rockwell, Makati, Metro Manila","Poblacion, Makati",True
Joya South Tower,"Makati, Metro Manila","Bangkal, Makati, Metro Manila","Bangkal, Makati",True
Juez Residences,"Malabon, Metro Manila","Maysilo, Malabon, Metro Manila",,True
KASARA Urban Resort Residences,"Pasig, Metro Manila","Ugong, Pasig, Metro Manila",,True
KIRANA,"Pasig, Metro Manila","Bagong Ilog, Pasig, Metro Manila",,True
KL MALVAR Residences,"Pasig, Metro Manila","Bagong Ilog, Pasig, Metro Manila",,True
KL Mosaic,"Makati, Metro Manila","Bangkal, Makati, Metro Manila",,True
KL Tower,"Makati, Metro Manila","Valenzuela, Makati, Metro Manila",,True
Kai Garden Residences,"Mandaluyong, Metro Manila","Malamig, Mandaluyong, Metro Manila","Malamig, Mandaluyong",True
Kai Garden Residences,"Mandaluyong, Metro Manila","Malamig, Mandaluyong, Metro Manila","Mandaluyong, Metro Manila",True
Kasara,"Pasig, Metro Manila","Ugong, Pasig, Metro Manila",,True
Kasara Urban Resort,"Pasig, Metro Manila","Ugong, Pasig, Metro Manila",,True
Kensington Place,"Taguig, Metro Manila","BGC, Taguig, Metro Manila",,True
Kingswood,,,"La Paz, Makati",False
Kingswood Square,"Makati, Metro Manila","Bangkal, Makati, Metro Manila",,True
Kizuna Heights,"Pasay, Metro Manila","Malate, Manila, Metro Manila","Taft, Manila",False
Knightsbridge Residences,,,"Makati, Metro Manila",False
Knightsbridge Residences,,,"Poblacion, Makati",False
Kosi Residences,,,"Sun Valley, Parañaque",False
Kroma Tower,"Makati, Metro Manila","San Lorenzo, Makati, Metro Manila","Legazpi Village, Makati",True
Kroma Tower,"Makati, Metro Manila","San Lorenzo, Makati, Metro Manila","San Lorenzo, Makati",True
Kroma Tower,"Makati, Metro Manila","San Lorenzo, Makati, Metro Manila","Bungad, Quezon City",True
LAKEVIEW MANORS,"Taguig, Metro Manila","Ususan, Taguig, Metro Manila",,True
LPL Center,,,"Salcedo Village, Makati",False
LPL Greenhills,,,"Greenhills, San Juan",False
LPL Manor,,,"Bel-Air, Makati",False
La Nobleza Terrazas,"Manila, Metro Manila","Malate, Manila, Metro Manila","Ermita, Manila",True
La Verti Residences,"Pasay, Metro Manila","Pasay, Metro Manila","Taft, Manila",True
La Verti Residences,"Pasay, Metro Manila","Pasay, Metro Manila","Pasay, Metro Manila",True
La Vie Flats,"Muntinlupa, Metro Manila","Alabang, Muntinlupa, Metro Manila","Muntinlupa, Metro Manila",True
La Vie Flats,"Muntinlupa, Metro Manila","Alabang, Muntinlupa, Metro Manila","Alabang, Muntinlupa",True
LaVie Flat,"Muntinlupa, Metro Manila","Metro Manila, Muntinlupa",,False
Lancaster Hotel Manila,,,"Shaw Boulevard, Mandaluyong",False
Lancris Residences,"Parañaque, Metro Manila","Don Bosco, Parañaque, Metro Manila","Don Bosco, Parañaque",True
Larossa In Capitol Hills,"Quezon City, Metro Manila","Matandang Balara, Quezon City, Metro Manila","Matandang Balara, Quezon City",True
Laureano Di Trevi,"Makati, Metro Manila","Pio Del Pilar, Makati, Metro Manila",,True
Laureano di Trevi Towers,"Makati, Metro Manila","Bangkal, Makati, Metro Manila",,True
Laurent Park,,,"G. Araneta Avenue, Quezon City",False
Le Gran Condominium,,,"Greenhills, San Juan",False
Leaf Residences,"Muntinlupa, Metro Manila","Tunasan, Muntinlupa, Metro Manila","Tunasan, Muntinlupa",True
Leaf Residences,"Muntinlupa, Metro Manila","Tunasan, Muntinlupa, Metro Manila","Central Manila, Manila",True
Lee Gardens,"Mandaluyong, Metro Manila","Addition Hills, Mandaluyong, Metro Manila","Wack-Wack Greenhills, Mandaluyong",True
Lee Gardens,"Mandaluyong, Metro Manila","Addition Hills, Mandaluyong, Metro Manila","Mandaluyong, Metro Manila",True
Lee Gardens,"Mandaluyong, Metro Manila","Addition Hills, Mandaluyong, Metro Manila","Addition Hills, Mandaluyong",True
Legaspi Towers 300,,,"Malate, Manila",False
Levina Place,"Pasig, Metro Manila","Rosario, Pasig, Metro Manila",,True
Light 2 Residences,"Mandaluyong, Metro Manila","Barangka Ilaya, Mandaluyong, Metro Manila","Barangka Ilaya, Mandaluyong",True
Light 2 Residences,"Mandaluyong, Metro Manila","Barangka Ilaya, Mandaluyong, Metro Manila","Boni Avenue, Mandaluyong",True
Light Residences,"Mandaluyong, Metro Manila","Addition Hills, Mandaluyong, Metro Manila","Mandaluyong, Metro Manila",True
Light Residences,"Mandaluyong, Metro Manila","Addition Hills, Mandaluyong, Metro Manila","Barangka Ilaya, Mandaluyong",True
Light Residences,"Mandaluyong, Metro Manila","Addition Hills, Mandaluyong, Metro Manila","Wack-Wack Greenhills, Mandaluyong",True
Lions Park Residences,"Parañaque, Metro Manila","Barangay 76, Pasay, Metro Manila","Sun Valley, Parañaque",False
Lions Park Residences,"Parañaque, Metro Manila","Barangay 76, Pasay, Metro Manila","Baclaran, Parañaque",False
Little Baguio Gardens,,,"Little Baguio, San Juan",False
Little Baguio Terraces,"San Juan, Metro Manila","Ermitaño, San Juan, Metro Manila","Aurora, Quezon City",True
Little Baguio Terraces,"San Juan, Metro Manila","Ermitaño, San Juan, Metro Manila","Little Baguio, San Juan",True
Little Baguio Terraces,"San Juan, Metro Manila","Ermitaño, San Juan, Metro Manila","Ermitaño, San Juan",True
Little Baguio Terraces,"San Juan, Metro Manila","Ermitaño, San Juan, Metro Manila","Addition Hills, San Juan",True
Little Baguio Terraces,"San Juan, Metro Manila","Ermitaño, San Juan, Metro Manila","San Perfecto, San Juan",True
Little Baguio Terraces,"San Juan, Metro Manila","Ermitaño, San Juan, Metro Manila","Pasadeña, San Juan",True
Lleida Tower,"Quezon City, Metro Manila","Bagumbayan, Quezon City, Metro Manila",,True
Lleida Tower at Circulo Verde,,,"Bagumbayan, Quezon City",False
Lumiere Residences,"Pasig, Metro Manila","Bagong Ilog, Pasig, Metro Manila",,True
Luna Gardens,,,"Makati, Metro Manila",False
Luna Gardens,,,"Poblacion, Makati",False
Lush Residences,"Makati, Metro Manila","San Antonio, Makati, Metro Manila","San Antonio, Makati",True
Luxe Residences,"Taguig, Metro Manila","Bagong Tanyag, Taguig, Metro Manila",,True
M PLACE,"Quezon City, Metro Manila","Ramon Magsaysay, Quezon City, Metro Manila",,True
M Place Residences,"Quezon City, Metro Manila","South Triangle, Quezon City, Metro Manila","Diliman, Quezon City",True
MAGNOLIA RESIDENCES,"Quezon City, Metro Manila","Ramon Magsaysay, Quezon City, Metro Manila","New Manila, Quezon City",True
MAGNOLIA RESIDENCES,"Quezon City, Metro Manila","Ramon Magsaysay, Quezon City, Metro Manila","Doña Imelda, Quezon City",True
MALATE BAYVIEW MANSION,"Manila, Metro Manila","Tondo, Manila, Metro Manila","Manila, Metro Manila",True
MALATE BAYVIEW MANSION,"Manila, Metro Manila","Tondo, Manila, Metro Manila","Malate, Manila",True
MANHATTAN GARDEN,"Quezon City, Metro Manila","Ramon Magsaysay, Quezon City, Metro Manila","Ramon Magsaysay, Quezon City",True
MANILA RESIDENCES,"Manila, Metro Manila","Tondo, Manila, Metro Manila",,True
MIRA,,,"Cubao, Quezon City",False
MONTECITO RESIDENTIAL RESORT,"Pasay, Metro Manila","Malate, Manila, Metro Manila","Malate, Manila",False
MPT Suites,,,"Makati, Metro Manila",False
MPlace South Triangle,"Quezon City, Metro Manila","Pasong Tamo, Quezon City, Metro Manila",,True
Madison Park,"Taguig, Metro Manila","Bagong Tanyag, Taguig, Metro Manila","Bagong Tanyag, Taguig",True
Madison Park West,"Taguig, Metro Manila","Pinagsama, Taguig, Metro Manila","Pinagsama, Taguig",True
Magnolia Place,"Quezon City, Metro Manila","Talipapa, Quezon City, Metro Manila","Quezon City, Metro Manila",True
Mahogany Place - Taguig,,,"Taguig, Metro Manila",False
Majorca Tower,"Quezon City, Metro Manila","Ramon Magsaysay, Quezon City, Metro Manila",,True
Makati Cinema Square Tower,,,"Antonio Arnaiz Avenue, Makati",False
Makati Executive Tower,,,"Makati, Metro Manila",False
Makati Executive Tower III,"Makati, Metro Manila","Pio Del Pilar, Makati, Metro Manila",,True
Makati Executive Tower IV,"Makati, Metro Manila","Pio Del Pilar, Makati, Metro Manila",,True
Makati Executive Towers,"Makati, Metro Manila","Bangkal, Makati, Metro Manila","Bangkal, Makati",True
Makati Palace Hotel,,,"Makati, Metro Manila",False
Malate Crown Plaza,,,"Manila, Metro Manila",False
Manansala Rockwell,"Makati, Metro Manila","Bangkal, Makati, Metro Manila","Bangkal, Makati",True
Manansala Tower,"Makati, Metro Manila","Bangkal, Makati, Metro Manila","Bangkal, Makati",True
Mandaluyong Executive Mansion,,,"Vergara, Mandaluyong",False
Mandaluyong Executive Mansion III,"Mandaluyong, Metro Manila","Namayan, Mandaluyong, Metro Manila",,True
Manggahan Village,"Pasig, Metro Manila","Bagong Ilog, Pasig, Metro Manila",,True
Mango Tree Residences,"San Juan, Metro Manila","Manila, Metro Manila","Sampaloc, Manila",False
Mango Tree Residences,"San Juan, Metro Manila","Manila, Metro Manila","Pasadeña, San Juan",False
Mango Tree Residences,"San Juan, Metro Manila","Manila, Metro Manila","Ermitaño, San Juan",False
Mango Tree Residences,"San Juan, Metro Manila","Manila, Metro Manila","San Perfecto, San Juan",False
Mango Tree Residences,"San Juan, Metro Manila","Manila, Metro Manila","San Juan, Metro Manila",False
Mango Tree Residences,"San Juan, Metro Manila","Manila, Metro Manila","Greenhills, San Juan",False
Mango Tree Residences,"San Juan, Metro Manila","Manila, Metro Manila","Progreso, San Juan",False
Manhattan Heights,,,"Cubao, Quezon City",False
Manhattan Parkview,,,"Cubao, Quezon City",False
Manhattan Parkway Residences,,,"Socorro, Quezon City",False
Manhattan Plaza,,,"Cubao, Quezon City",False
Manhattan Plaza,,,"Socorro, Quezon City",False
Manhattan Square,"Makati, Metro Manila","Bangkal, Makati, Metro Manila",,True
Manila Executive Regency,,,"Ermita, Manila",False
Maple Place,"Makati, Metro Manila","Bangkal, Makati, Metro Manila","Bangkal, Makati",True
Maple at Verdant Towers,"Pasig, Metro Manila","Ugong, Pasig, Metro Manila",,True
Maricielo Villas,"Las Piñas, Metro Manila","Pulang Lupa Uno, Las Piñas, Metro Manila","Pulang Lupa Uno, Las Piñas",True
Maricielo Villas,"Las Piñas, Metro Manila","Pulang Lupa Uno, Las Piñas, Metro Manila","Las Piñas, Metro Manila",True
Marquinton Residences,,,"Santo Niño, Marikina",False
Maui Oasis,"Pasig, Metro Manila","Maybunga, Pasig, Metro Manila","Santa Mesa, Manila",True
Maven,"Pasig, Metro Manila","Oranbo, Pasig, Metro Manila",,True
Mayfair Mansion,,,"Legazpi Village, Makati",False
Mayfair Mansion,,,"Makati, Metro Manila",False
Mayfair Tower,"Manila, Metro Manila","Ermita, Manila, Metro Manila","Ermita, Manila",True
Mayfield Park Residences,"Pasig, Metro Manila","Rosario, Pasig, Metro Manila",,True
McKinley Garden Villas,,,"Pinagsama, Taguig",False
McKinley Park Residences,"Taguig, Metro Manila","BGC, Taguig, Metro Manila","Fort Bonifacio, Taguig",True
Mckinley West Village,"Taguig, Metro Manila","Pinagsama, Taguig, Metro Manila",,True
Melbourne Residences,"Makati, Metro Manila","Urdaneta, Makati, Metro Manila",,True
Mercedes Residences,"Pasig, Metro Manila","San Miguel, Pasig, Metro Manila",,True
Mergent Residences,"Makati, Metro Manila","Poblacion, Makati, Metro Manila",,True
Mezza 2 Residences,"Quezon City, Metro Manila","Doña Imelda, Quezon City, Metro Manila","Doña Imelda, Quezon City",True
Mezza II Residences,"Quezon City, Metro Manila","Pasong Tamo, Quezon City, Metro Manila",,True
Mezza Residences,"Quezon City, Metro Manila","Kaunlaran, Quezon City, Metro Manila","Cubao, Quezon City",True
Mezza Residences,"Quezon City, Metro Manila","Kaunlaran, Quezon City, Metro Manila","Doña Imelda, Quezon City",True
Mi Casa,,,"Pasay, Metro Manila",False
MidPark Towers,"Parañaque, Metro Manila","Baclaran, Parañaque, Metro Manila","Baclaran, Parañaque",True
Milan Residenze,"Quezon City, Metro Manila","Bagbag, Quezon City, Metro Manila","Bagbag, Quezon City",True
Milan Residenze Fairview,,,"Fairview, Quezon City",False
Mint Residences,"Makati, Metro Manila","Urdaneta, Makati, Metro Manila","Urdaneta, Makati",True
Mirea Residences,"Pasig, Metro Manila","Santolan, Pasig, Metro Manila",,True
Molave Park Subdivision,,,"Parañaque, Metro Manila",False
Moldex Residences Valenzuela,"Manila, Metro Manila","Paso de Blas, Valenzuela, Metro Manila",,False
Monarch Parksuites,"Parañaque, Metro Manila","Metro Manila, Parañaque, Baclaran","Bay City, Pasay",False
Monarch Parksuites,"Parañaque, Metro Manila","Metro Manila, Parañaque, Baclaran","Tambo, Parañaque",False
Monarch Parksuites,"Parañaque, Metro Manila","Metro Manila, Parañaque, Baclaran","Pasay Rotonda, Pasay",False
Mondrian Residences,"Muntinlupa, Metro Manila","Alabang, Muntinlupa, Metro Manila",,True
Monte Carlo Towers,,,"Longos, Malolos",False
Morgan Suites,"Taguig, Metro Manila","Pinagsama, Taguig, Metro Manila","Pinagsama, Taguig",True
Morgan Suites Executive Residences,,,"McKinley Hill, Taguig",False
Mosaic,"Makati, Metro Manila","Valenzuela, Makati, Metro Manila","Valenzuela, Makati",True
Mulberry Place,,,"Taguig, Metro Manila",False
Multinational Village,,,"Parañaque, Metro Manila",False
My Place at Ortigas,"Pasig, Metro Manila","Ugong, Pasig, Metro Manila",,True
My Place at South Triangle,"Quezon City, Metro Manila","South Triangle, Quezon City, Metro Manila",,True
Neopolitan Condominium,,,"Ramon Magsaysay, Quezon City",False
Neopolitan Condominiums,"Quezon City, Metro Manila","Fairview, Quezon City, Metro Manila",,True
Noble Place,"Manila, Metro Manila","Binondo, Manila, Metro Manila","Binondo, Manila",True
North Gate,,,"Muntinlupa, Metro Manila",False
North Residences,"Quezon City, Metro Manila","Veterans Village, Quezon City, Metro Manila",,True
Novotel Suites Manila,,,"Makati, Metro Manila",False
Number One West Tower,"Makati, Metro Manila","Bangkal, Makati, Metro Manila",,True
Nuveo at Cerca,,,"Almanza Uno, Las Piñas",False
Nuveo at Cerca,,,"Almanza Dos, Las Piñas",False
Nuveo at Cerca,,,"Ayala Alabang, Muntinlupa",False
OLYMPIC HEIGHTS,"Quezon City, Metro Manila","Ramon Magsaysay, Quezon City, Metro Manila","Ramon Magsaysay, Quezon City",True
OLYMPIC HEIGHTS,"Quezon City, Metro Manila","Ramon Magsaysay, Quezon City, Metro Manila","Eastwood City, Quezon City",True
ONE BURGUNDY PLAZA,"Quezon City, Metro Manila","Ramon Magsaysay, Quezon City, Metro Manila","Loyola Heights, Quezon City",True
ONE86 at Wilson,,,"Maytunas, San Juan",False
Oak Harbor Residences,"Parañaque, Metro Manila","Don Bosco, Parañaque, Metro Manila","Parañaque, Metro Manila",True
Oak Harbor Residences,"Parañaque, Metro Manila","Don Bosco, Parañaque, Metro Manila","Don Galo, Parañaque",True
Ocean Tower,,,"Malate, Manila",False
Ocean Tower,,,"Roxas Boulevard, Manila",False
