hospital,beds,category,street,city,sec,full_address,cleaned_query,fallback_query,lat,lon,geocode_provider,formatted_address,quality_note
EAST AVENUE MEDICAL CENTER,1000,LEVEL 3,"EAST AVENUE, DILIMAN,",QUEZON CITY,G,"EAST AVENUE MEDICAL CENTER, QUEZON CITY, Metro Manila, Philippines",east avenue medical center quezon city metro manila philippines,,14.6421432,121.0479837,google,"J2RX+V55, East Ave, Diliman, Quezon City, 1100 Metro Manila, Philippines",CLEANED|GEOMETRIC_CENTER
"F.Y. MANALO MEDICAL FOUNDATION, INC.",100,LEVEL 2,"COMMONWEALTH AVE., COR. TANDANG SORA AVE.,",QUEZON CITY,P,"F.Y. MANALO MEDICAL FOUNDATION, INC., QUEZON CITY, Metro Manila, Philippines",f.y. manalo medical foundation inc. quezon city metro manila philippines,"F.Y. MANALO MEDICAL FOUNDATION, INC., QUEZON CITY, Metro Manila, Philippines, Metro Manila, Philippines",,,,,
"FAIRVIEW GENERAL HOSPITAL, INC.",30,LEVEL 1,"LOT 20 COR. MERCURY ST., FAIRVIEW,",QUEZON CITY,P,"FAIRVIEW GENERAL HOSPITAL, INC., QUEZON CITY, Metro Manila, Philippines",fairview general hospital inc. quezon city metro manila philippines,"FAIRVIEW GENERAL HOSPITAL, INC., QUEZON CITY, Metro Manila, Philippines, Metro Manila, Philippines",,,,,
"FEU-DR. NICANOR REYES MEDICAL
FOUNDATION, INC.",300,LEVEL 3,"REGALADO AVENUE COR. DAHLIA,
WEST FAIRVIEW,",QUEZON CITY,P,"FEU-DR. NICANOR REYES MEDICAL
FOUNDATION, INC., QUEZON CITY, Metro Manila, Philippines",feu-dr. nicanor reyes medical foundation inc. quezon city metro manila philippines,"FEU-DR. NICANOR REYES MEDICAL
FOUNDATION, INC., QUEZON CITY, Metro Manila, Philippines, Metro Manila, Philippines",,,,,
GARCIA GENERAL HOSPITAL,24,LEVEL 1,"49 BAYAN-BAYANAN AVE., MARIKINA HEIGHTS, CONCEPCION,",MARIKINA,P,"GARCIA GENERAL HOSPITAL, MARIKINA, Metro Manila, Philippines",garcia general hospital marikina metro manila philippines,,14.6512038,121.1110689,google,"49 Bayan-Bayanan Ave, Marikina, 1800 Metro Manila, Philippines",CLEANED|ROOFTOP
"GEN. MIGUEL MALVAR MEDICAL RESEARCH
FOUNDATION, INC.",46,LEVEL 1,"531 COMMONWEALTH AVENUE,",QUEZON CITY,P,"GEN. MIGUEL MALVAR MEDICAL RESEARCH
FOUNDATION, INC., QUEZON CITY, Metro Manila, Philippines",gen. miguel malvar medical research foundation inc. quezon city metro manila philippines,"GEN. MIGUEL MALVAR MEDICAL RESEARCH
FOUNDATION, INC., QUEZON CITY, Metro Manila, Philippines, Metro Manila, Philippines",,,,,
LUNG CENTER OF THE PHILIPPINES,237,LEVEL 3,"QUEZON AVENUE,",QUEZON CITY,G,"LUNG CENTER OF THE PHILIPPINES, QUEZON CITY, Metro Manila, Philippines",lung center of the philippines quezon city metro manila philippines,,14.6477279,121.0452136,google,"Quezon Ave, Diliman, Quezon City, 1100 Metro Manila, Philippines",CLEANED|GEOMETRIC_CENTER
"MARIKINA ST. VINCENT GENERAL HOSPITAL,
INC.",90,LEVEL 2,"35 BAYAN-BAYANAN AVENUE,
CONCEPCION UNO,",MARIKINA,P,"MARIKINA ST. VINCENT GENERAL HOSPITAL,
INC., MARIKINA, Metro Manila, Philippines",marikina street. vincent general hospital inc. marikina metro manila philippines,"MARIKINA ST. VINCENT GENERAL HOSPITAL,
INC., MARIKINA, Metro Manila, Philippines, Metro Manila, Philippines",14.6511832,121.1073128,google,"35 Bayan-Bayanan Ave, Marikina, 1800 Metro Manila, Philippines",FALLBACK_FULL|ROOFTOP
MARIKINA VALLEY MEDICAL CENTER,151,LEVEL 2,"SUMULONG HIGHWAY COR.
AGUINALDO ST., BRGY. STO. NIÑO,",MARIKINA,P,"MARIKINA VALLEY MEDICAL CENTER, MARIKINA, Metro Manila, Philippines",marikina valley medical center marikina metro manila philippines,,14.6347295,121.1039907,google,"Sumulong Hwy, Marikina, 1800 Metro Manila, Philippines",CLEANED|GEOMETRIC_CENTER
"METRO NORTH MEDICAL CENTER AND HOSPITAL, INC.",80,LEVEL 2,"1001 MINDANAO AVE., BRGY. BAHAY TORO,",QUEZON CITY,P,"METRO NORTH MEDICAL CENTER AND HOSPITAL, INC., QUEZON CITY, Metro Manila, Philippines",metro north medical center and hospital inc. quezon city metro manila philippines,"METRO NORTH MEDICAL CENTER AND HOSPITAL, INC., QUEZON CITY, Metro Manila, Philippines, Metro Manila, Philippines",,,,,
NATIONAL CHILDREN'S HOSPITAL,250,LEVEL 3,"264 E. RODRIGUEZ SR. BOULEVARD,",QUEZON CITY,G,"NATIONAL CHILDREN'S HOSPITAL, QUEZON CITY, Metro Manila, Philippines",national children's hospital quezon city metro manila philippines,,14.6204405,121.0208118,google,"264 E Rodriguez Sr. Ave, Quezon City, 1113 Metro Manila, Philippines",CLEANED|ROOFTOP
"NATIONAL KIDNEY AND TRANSPLANT
INSTITUTE",315,LEVEL 3,"EAST AVENUE, DILIMAN,",QUEZON CITY,G,"NATIONAL KIDNEY AND TRANSPLANT
INSTITUTE, QUEZON CITY, Metro Manila, Philippines",national kidney and transplant institute quezon city metro manila philippines,,14.6473447,121.0473288,google,"J2WW+WWP, East Ave, Diliman, Quezon City, 1101 Metro Manila, Philippines",CLEANED|GEOMETRIC_CENTER
NOVALICHES DISTRICT HOSPITAL,30,LEVEL 1,"QUIRINO HIGHWAY, SAN BARTOLOME,
NOVALICHES,",QUEZON CITY,G,"NOVALICHES DISTRICT HOSPITAL, QUEZON CITY, Metro Manila, Philippines",novaliches district hospital quezon city metro manila philippines,,14.700472,121.034431,google,"680 Quirino Hwy, Novaliches, Quezon City, 1116 Metro Manila, Philippines",CLEANED|ROOFTOP
"NOVALICHES GENERAL HOSPITAL AND
MEDICAL CENTER, INC.",60,LEVEL 2,"793 QUIRINO HIGHWAY, BRGY.
GULOD, NOVALICHES,",QUEZON CITY,P,"NOVALICHES GENERAL HOSPITAL AND
MEDICAL CENTER, INC., QUEZON CITY, Metro Manila, Philippines",novaliches general hospital and medical center inc. quezon city metro manila philippines,"NOVALICHES GENERAL HOSPITAL AND
MEDICAL CENTER, INC., QUEZON CITY, Metro Manila, Philippines, Metro Manila, Philippines",,,,,
"P. GONZALES MEMORIAL HOSPITAL, INC",8,INF/DISP,"582 J.P. RIZAL ST., LAMUAN,
MALANDAY,",MARIKINA,P,"P. GONZALES MEMORIAL HOSPITAL, INC, MARIKINA, Metro Manila, Philippines",p. gonzales memorial hospital inc marikina metro manila philippines,,14.6491787,121.0985024,google,"582 J. P. Rizal St, Marikina, 1805 Metro Manila, Philippines",CLEANED|ROOFTOP
"PACIFIC GLOBAL MEDICAL CENTER, INC.",100,LEVEL 2,"LOT 2B, MINDANAO AVENUE, BRGY.
TALIPAPA, NOVALICHES,",QUEZON CITY,P,"PACIFIC GLOBAL MEDICAL CENTER, INC., QUEZON CITY, Metro Manila, Philippines",pacific global medical center inc. quezon city metro manila philippines,"PACIFIC GLOBAL MEDICAL CENTER, INC., QUEZON CITY, Metro Manila, Philippines, Metro Manila, Philippines",,,,,
PASCUAL GENERAL HOSPITAL,12,INF/DISP,"130 M. PASCUAL ST., QUIRINO
HIGHWAY, BAESA,",QUEZON CITY,P,"PASCUAL GENERAL HOSPITAL, QUEZON CITY, Metro Manila, Philippines",pascual general hospital quezon city metro manila philippines,,14.666991,121.0090838,google,"130 Quirino Hwy, Quezon City, 1106 Metro Manila, Philippines",CLEANED|ROOFTOP
PHILIPPINE CHILDREN'S MEDICAL CENTER,200,LEVEL 3,"QUEZON AVENUE CORNER AGHAM ROAD, DILIMAN,",QUEZON CITY,G,"PHILIPPINE CHILDREN'S MEDICAL CENTER, QUEZON CITY, Metro Manila, Philippines",philippine children's medical center quezon city metro manila philippines,"PHILIPPINE CHILDREN'S MEDICAL CENTER, QUEZON CITY, Metro Manila, Philippines, Metro Manila, Philippines",14.6476963,121.0411248,google,"Quezon Avenue, cor Senator Miriam P. Defensor-Santiago Ave, Bagong Pag-asa, Quezon City, 1101 Metro Manila, Philippines",FALLBACK_FULL|ROOFTOP
PHILIPPINE HEART CENTER,574,LEVEL 3,"EAST AVENUE, DILIMAN,",QUEZON CITY,G,"PHILIPPINE HEART CENTER, QUEZON CITY, Metro Manila, Philippines",philippine heart center quezon city metro manila philippines,,14.6441499,121.0481468,google,"J2VX+M72, East Ave, Diliman, Quezon City, Metro Manila, Philippines",CLEANED|GEOMETRIC_CENTER
PHILIPPINE ORTHOPEDIC CENTER,700,LEVEL 3,"MA. CLARA ST. COR. BANAWE STS.,",QUEZON CITY,G,"PHILIPPINE ORTHOPEDIC CENTER, QUEZON CITY, Metro Manila, Philippines",philippine orthopedic center quezon city metro manila philippines,,14.6280361,121.0033881,google,"78-A Maria Clara St, Santa Mesa Heights, Quezon City, 1114 Metro Manila, Philippines",CLEANED|ROOFTOP
PNP GENERAL HOSPITAL,176,LEVEL 2,"CAMP CRAME,",QUEZON CITY,G,"PNP GENERAL HOSPITAL, QUEZON CITY, Metro Manila, Philippines",pnp general hospital quezon city metro manila philippines,,14.6156163,121.0519252,google,"Camp Panopio, P. Tuazon Blvd. Corner EDSA Main Avenue, Kaunlaran, Cubao, Quezon City, 1111 Metro Manila, Philippines",CLEANED|ROOFTOP
"PROVIDENCE HOSPITAL, INC.",75,LEVEL 2,"1515 QUEZON AVENUE, WEST
TRIANGLE,",QUEZON CITY,P,"PROVIDENCE HOSPITAL, INC., QUEZON CITY, Metro Manila, Philippines",providence hospital inc. quezon city metro manila philippines,"PROVIDENCE HOSPITAL, INC., QUEZON CITY, Metro Manila, Philippines, Metro Manila, Philippines",,,,,
QUEZON CITY GENERAL HOSPITAL,250,LEVEL 3,"SEMINARY ROAD, BRGY. BAHAY TORO, PROJECT 8, EDSA",QUEZON CITY,G,"QUEZON CITY GENERAL HOSPITAL, QUEZON CITY, Metro Manila, Philippines",quezon city general hospital quezon city metro manila philippines,,14.6611599,121.018209,google,"M269+F78, Seminary Rd, Project 8, Quezon City, Metro Manila, Philippines",CLEANED|GEOMETRIC_CENTER
QUIRINO MEMORIAL MEDICAL CENTER,599,LEVEL 3,"KATIPUNAN ROAD, PROJECT 4,",QUEZON CITY,G,"QUIRINO MEMORIAL MEDICAL CENTER, QUEZON CITY, Metro Manila, Philippines",quirino memorial medical center quezon city metro manila philippines,,14.6222558,121.0728482,google,"J3CF+W45, J.P. Rizal, Project 4, Quezon City, 1109 Kalakhang Maynila, Philippines",CLEANED|GEOMETRIC_CENTER
"ROSARIO MACLANG BAUTISTA GENERAL
HOSPITAL",107,LEVEL 2,"IBP ROAD, BATASAN HILLS, DISTRICT 2,",QUEZON CITY,G,"ROSARIO MACLANG BAUTISTA GENERAL
HOSPITAL, QUEZON CITY, Metro Manila, Philippines",rosario maclang bautista general hospital quezon city metro manila philippines,,14.6860552,121.0890724,google,"M3PQ+CJG, Batasan Rd, Quezon City, Metro Manila, Philippines",CLEANED|GEOMETRIC_CENTER
SAN JUAN MEDICAL CENTER,150,LEVEL 2,"N. DOMINGO ST.,",SAN JUAN,G,"SAN JUAN MEDICAL CENTER, SAN JUAN, Metro Manila, Philippines",san juan medical center san juan metro manila philippines,,14.6063348,121.0235621,google,"71 N. Domingo, San Juan City, 1500 Metro Manila, Philippines",CLEANED|ROOFTOP
"SAN LORENZO HOSPITAL HEALTH
MANAGEMENT CO., INC.",18,LEVEL 1,"QUIRINO HIGHWAY, BRGY. PASONG
PUTIK, NOVALICHES,",QUEZON CITY,P,"SAN LORENZO HOSPITAL HEALTH
MANAGEMENT CO., INC., QUEZON CITY, Metro Manila, Philippines",san lorenzo hospital health management co. inc. quezon city metro manila philippines,"SAN LORENZO HOSPITAL HEALTH
MANAGEMENT CO., INC., QUEZON CITY, Metro Manila, Philippines, Metro Manila, Philippines",,,,,
"SDS MEDICAL CENTER, INC.",22,LEVEL 1,"KATIPUNAN RD. COR. PIO DEL PILAR
ST., CONCEPCION 2,",MARIKINA,P,"SDS MEDICAL CENTER, INC., MARIKINA, Metro Manila, Philippines",sds medical center inc. marikina metro manila philippines,,14.6394204,121.1099639,google,"61 Katipunan St, Marikina, 1800 Metro Manila, Philippines",CLEANED|ROOFTOP
"ST. ANTHONY MEDICAL CENTER OF
MARIKINA, INC.",34,LEVEL 2,"32 STA. ANA EXT. COR. BETELNUT, SAN
ROQUE,",MARIKINA,P,"ST. ANTHONY MEDICAL CENTER OF
MARIKINA, INC., MARIKINA, Metro Manila, Philippines",street. anthony medical center of marikina inc. marikina metro manila philippines,"ST. ANTHONY MEDICAL CENTER OF
MARIKINA, INC., MARIKINA, Metro Manila, Philippines, Metro Manila, Philippines",,,,,
ST. LUKE'S MEDICAL CENTER,509,LEVEL 3,"279 E. RODRIGUEZ SR. BLVD.,",QUEZON CITY,P,"ST. LUKE'S MEDICAL CENTER, QUEZON CITY, Metro Manila, Philippines",street. luke's medical center quezon city metro manila philippines,"ST. LUKE'S MEDICAL CENTER, QUEZON CITY, Metro Manila, Philippines, Metro Manila, Philippines",14.6225328,121.0232452,google,"279 E Rodriguez Sr. Ave, Quezon City, 1112 Metro Manila, Philippines",FALLBACK_FULL|ROOFTOP
ST. VICTORIA HOSPITAL,30,LEVEL 1,"444 J.P. RIZAL ST., BRGY. STO. NIÑO,
DISTRICT 1,",MARIKINA,P,"ST. VICTORIA HOSPITAL, MARIKINA, Metro Manila, Philippines",street. victoria hospital marikina metro manila philippines,"ST. VICTORIA HOSPITAL, MARIKINA, Metro Manila, Philippines, Metro Manila, Philippines",14.6422207,121.0945705,google,"444 J. P. Rizal St, Marikina, 1800 Metro Manila, Philippines",FALLBACK_FULL|ROOFTOP
UNITED DOCTORS MEDICAL CENTER,30,LEVEL 2,"6 N. RAMIREZ ST., BRGY. DON
MANUEL,",QUEZON CITY,P,"UNITED DOCTORS MEDICAL CENTER, QUEZON CITY, Metro Manila, Philippines",united doctors medical center quezon city metro manila philippines,,14.6170544,121.0019352,google,"6 Nicanor Ramirez, Sampaloc, Quezon City, 1008 Kalakhang Maynila, Philippines",CLEANED|ROOFTOP
"UNIVERSITY OF THE EAST RAMON
MAGSAYSAY MEMORIAL MEDICAL CENTER, INC.",307,LEVEL 3,"AURORA BLVD.,",QUEZON CITY,P,"UNIVERSITY OF THE EAST RAMON
MAGSAYSAY MEMORIAL MEDICAL CENTER, INC., QUEZON CITY, Metro Manila, Philippines",university of the east ramon magsaysay memorial medical center inc. quezon city metro manila philippines,"UNIVERSITY OF THE EAST RAMON
MAGSAYSAY MEMORIAL MEDICAL CENTER, INC., QUEZON CITY, Metro Manila, Philippines, Metro Manila, Philippines",,,,,
UP HEALTH SERVICE,25,INF/DISP,"J.P. LAUREL ST., U.P. CAMPUS,
DILIMAN,",QUEZON CITY,G,"UP HEALTH SERVICE, QUEZON CITY, Metro Manila, Philippines",up health service quezon city metro manila philippines,,14.659808,121.0708626,google,"University Health Service, Laurel Ave, Diliman, Quezon City, Metro Manila, Philippines",CLEANED|ROOFTOP
"UROLOGY CENTER OF THE PHILIPPINES, INC.",16,LEVEL 1,"62 MAGINOO ST., DILIMAN,",QUEZON CITY,P,"UROLOGY CENTER OF THE PHILIPPINES, INC., QUEZON CITY, Metro Manila, Philippines",urology center of the philippines inc. quezon city metro manila philippines,,14.6420486,121.0535458,google,"62 Maginoo, Diliman, Quezon City, Metro Manila, Philippines",CLEANED|ROOFTOP
VETERANS MEMORIAL MEDICAL CENTER,766,LEVEL 3,"NORTH AVENUE, DILIMAN,",QUEZON CITY,G,"VETERANS MEMORIAL MEDICAL CENTER, QUEZON CITY, Metro Manila, Philippines",veterans memorial medical center quezon city metro manila philippines,,14.6561184,121.0400556,google,"M24R+C2V, North Ave, Diliman, Quezon City, Metro Manila, Philippines",CLEANED|GEOMETRIC_CENTER
VIAN FAMILY HOSPITAL II,6,INF/DISP,"411 QUIRINO HIGHWAY, TALIPAPA,
NOVALICHES,",QUEZON CITY,P,"VIAN FAMILY HOSPITAL II, QUEZON CITY, Metro Manila, Philippines",vian family hospital ii quezon city metro manila philippines,,14.6828566,121.0209514,google,"411 Quirino Hwy, Novaliches, Quezon City, 1116 Metro Manila, Philippines",CLEANED|ROOFTOP
VICTORIANO LUNA MEDICAL CENTER,1200,LEVEL 3,"V. LUNA ROAD, PINYAHAN",QUEZON CITY,G,"VICTORIANO LUNA MEDICAL CENTER, QUEZON CITY, Metro Manila, Philippines",victoriano luna medical center quezon city metro manila philippines,,14.6347649,121.0524293,google,"J3M2+WX3, V. Luna Ave, Diliman, Quezon City, 1100 Metro Manila, Philippines",CLEANED|GEOMETRIC_CENTER
"VILLAROSA HOSPITAL, INC.",10,INF/DISP,"11 SALALILLA ST., PROJECT 4,",QUEZON CITY,P,"VILLAROSA HOSPITAL, INC., QUEZON CITY, Metro Manila, Philippines",villarosa hospital inc. quezon city metro manila philippines,"VILLAROSA HOSPITAL, INC., QUEZON CITY, Metro Manila, Philippines, Metro Manila, Philippines",,,,,
"VILLON-TANSINSIN HOSPITAL, INC.",20,LEVEL 1,"3 TOYOTA AVE. COR. GUERILLA ST.,
STO. NIÑO,",MARIKINA,P,"VILLON-TANSINSIN HOSPITAL, INC., MARIKINA, Metro Manila, Philippines",villon-tansinsin hospital inc. marikina metro manila philippines,,14.637248,121.0994787,google,"Toyota Ave., Cor. Guerilla St., J3PX+VQX, Marikina, 1800 Metro Manila, Philippines",CLEANED|GEOMETRIC_CENTER
"WORD OF HOPE GENERAL HOSPITAL
FOUNDATION, INC.",30,LEVEL 1,"23 BUENAMAR ST., NOVALICHES,",QUEZON CITY,P,"WORD OF HOPE GENERAL HOSPITAL
FOUNDATION, INC., QUEZON CITY, Metro Manila, Philippines",word of hope general hospital foundation inc. quezon city metro manila philippines,,14.7192817,121.0390506,google,"23 Buenamar Dr, Quezon City, 1121 Metro Manila, Philippines",CLEANED|ROOFTOP
WORLD CITI MEDICAL CENTER,122,LEVEL 3,"960 AURORA BLVD., BRGY. BAGONG
BUHAY,",QUEZON CITY,P,"WORLD CITI MEDICAL CENTER, QUEZON CITY, Metro Manila, Philippines",world citi medical center quezon city metro manila philippines,,14.6272442,121.0633398,google,"960 Aurora Blvd, Project 4, Quezon City, Metro Manila, Philippines",CLEANED|ROOFTOP
ACEBEDO GENERAL HOSPITAL,16,LEVEL 1,"849 GENERAL LUIS ST., BAGBAGUIN,",CALOOCAN,P,"ACEBEDO GENERAL HOSPITAL, CALOOCAN, Metro Manila, Philippines",acebedo general hospital caloocan metro manila philippines,,14.7187229,121.0050807,google,"300 General Luis, Caloocan, 1420 Metro Manila, Philippines",CLEANED|ROOFTOP
"ALLIED CARE EXPERTS (ACE) MEDICAL
CENTER MANDALUYONG, INC.",55,LEVEL 2,"145 HAIG ST., BRGY. DAANG BAKAL,",MANDALUYONG,P,"ALLIED CARE EXPERTS (ACE) MEDICAL
CENTER MANDALUYONG, INC., MANDALUYONG, Metro Manila, Philippines",allied care experts (ace) medical center mandaluyong inc. mandaluyong metro manila philippines,"ALLIED CARE EXPERTS (ACE) MEDICAL
CENTER MANDALUYONG, INC., MANDALUYONG, Metro Manila, Philippines, Metro Manila, Philippines",,,,,
"ALLIED CARE EXPERTS (ACE) MEDICAL
CENTER VALENZUELA, INC.",82,LEVEL 2,"548 MC ARTHUR HIGHWAY,
MALANDAY,",VALENZUELA,P,"ALLIED CARE EXPERTS (ACE) MEDICAL
CENTER VALENZUELA, INC., VALENZUELA, Metro Manila, Philippines",allied care experts (ace) medical center valenzuela inc. valenzuela metro manila philippines,"ALLIED CARE EXPERTS (ACE) MEDICAL
CENTER VALENZUELA, INC., VALENZUELA, Metro Manila, Philippines, Metro Manila, Philippines",,,,,
"BERMUDEZ POLYMEDIC HOSPITAL, INC.",20,LEVEL 1,"391 MALARIA ROAD, BRGY. 185, ZONE
16, DISTRICT 1, TALA,",CALOOCAN,P,"BERMUDEZ POLYMEDIC HOSPITAL, INC., CALOOCAN, Metro Manila, Philippines",bermudez polymedic hospital inc. caloocan metro manila philippines,"BERMUDEZ POLYMEDIC HOSPITAL, INC., CALOOCAN, Metro Manila, Philippines, Metro Manila, Philippines",,,,,
CALOOCAN CITY MEDICAL CENTER,82,LEVEL 1,"450 A. MABINI ST.,",CALOOCAN,G,"CALOOCAN CITY MEDICAL CENTER, CALOOCAN, Metro Manila, Philippines",caloocan city medical center caloocan metro manila philippines,,14.6483271,120.9736139,google,"450 A. Mabini St, Poblacion, Caloocan, 1400 Metro Manila, Philippines",CLEANED|ROOFTOP
