REGION,INSTITUTION_NAME,INSTITUTION_TYPE,PROVINCE,MUNICIPALITY_CITY,FULL_ADDRESS,cleaned_query,fallback_query,lat,lon,geocode_provider,formatted_address,quality_note
13 - Nat. Capital Region,Asian Institute for Distance Education,Private,Metro Manila,Makati,"Asian Institute for Distance Education, Makati, Metro Manila, Philippines",asian institute for distance education makati metro manila philippines,,14.554779,121.020651,google,"Unit 302 3rd Floor, Greenbelt Mansions, 106 Perea, Legazpi Village, Makati City, 1200 Metro Manila, Philippines",CLEANED|ROOFTOP
13 - Nat. Capital Region,Asian Institute of Journalism and Communication,Private,Metro Manila,Manila,"Asian Institute of Journalism and Communication, Manila, Metro Manila, Philippines",asian institute of journalism and communication manila metro manila philippines,,14.616514,121.000759,google,"2244 España Blvd, Sampaloc, Manila, 1008 Metro Manila, Philippines",CLEANED|ROOFTOP
13 - Nat. Capital Region,Asian Institute of Management,Private,Metro Manila,Makati,"Asian Institute of Management, Makati, Metro Manila, Philippines",asian institute of management makati metro manila philippines,,14.552473,121.018728,google,"123 Paseo de Roxas, Legazpi Village, Makati City, 1229 Metro Manila, Philippines",CLEANED|ROOFTOP
13 - Nat. Capital Region,Asian Institute of Maritime Studies,Private,Metro Manila,Pasay,"Asian Institute of Maritime Studies, Pasay, Metro Manila, Philippines",asian institute of maritime studies pasay metro manila philippines,,14.5461269,120.9922325,google,"Roxas Boulevard, cor Antonio S. Arnaiz Ave, Pasay City, 1302 Metro Manila, Philippines",CLEANED|ROOFTOP
13 - Nat. Capital Region,Asian Social Institute,Private,Metro Manila,Manila,"Asian Social Institute, Manila, Metro Manila, Philippines",asian social institute manila metro manila philippines,,14.5774534,120.9887399,google,"1518 Leon Guinto St, Malate, Manila, 1004 Metro Manila, Philippines",CLEANED|ROOFTOP
13 - Nat. Capital Region,Asian Theological Seminary,Private,Metro Manila,Quezon City,"Asian Theological Seminary, Quezon City, Metro Manila, Philippines",asian theological seminary quezon city metro manila philippines,"Asian Theological Seminary, Quezon City, Metro Manila, Philippines, Metro Manila, Philippines",14.6350544,121.0384971,google,"54 Sct. Madriñan St, Diliman, Quezon City, 1103 Metro Manila, Philippines",FALLBACK_FULL|ROOFTOP
13 - Nat. Capital Region,Assumption College,Private,Metro Manila,Makati,"Assumption College, Makati, Metro Manila, Philippines",assumption college makati metro manila philippines,,14.5468471,121.0218989,google,"Makati City, 1223 Metro Manila, Philippines",CLEANED|GEOMETRIC_CENTER
13 - Nat. Capital Region,Ateneo de Manila University-Quezon City,Private,Metro Manila,Quezon City,"Ateneo de Manila University-Quezon City, Quezon City, Metro Manila, Philippines",ateneo de manila university-quezon city quezon city metro manila philippines,,14.6395704,121.0785779,google,"Katipunan Ave, Quezon City, 1108 Metro Manila, Philippines",CLEANED|GEOMETRIC_CENTER
13 - Nat. Capital Region,Ateneo De Manila University School of Medicine and Public Health,Private,Metro Manila,Pasig,"Ateneo De Manila University School of Medicine and Public Health, Pasig, Metro Manila, Philippines",ateneo de manila university school of medicine and public health pasig metro manila philippines,,14.5905214,121.0703492,google,"Don Eugenio Lopez Sr. Medical Complex, Ortigas Ave, Pasig, 1604 Metro Manila, Philippines",CLEANED|GEOMETRIC_CENTER
13 - Nat. Capital Region,Ateneo de Manila University Graduate School of Business,Private,Metro Manila,Makati,"Ateneo de Manila University Graduate School of Business, Makati, Metro Manila, Philippines",ateneo de manila university graduate school of business makati metro manila philippines,"Ateneo de Manila University Graduate School of Business, Makati, Metro Manila, Philippines, Metro Manila, Philippines",,,,,
13 - Nat. Capital Region,Bernardo College,Private,Metro Manila,Las Piñas,"Bernardo College, Las Piñas, Metro Manila, Philippines",bernardo college las pinas metro manila philippines,,14.4693473,120.9726481,google,"FX9F+P3J, Las Piñas, Metro Manila, Philippines",CLEANED|GEOMETRIC_CENTER
13 - Nat. Capital Region,Biblical Seminary of the Philippines,Private,Metro Manila,Valenzuela,"Biblical Seminary of the Philippines, Valenzuela, Metro Manila, Philippines",biblical seminary of the philippines valenzuela metro manila philippines,,14.6909755,120.9812144,google,"77-B Karuhatan Rd, Valenzuela, 1441 Metro Manila, Philippines",CLEANED|ROOFTOP
13 - Nat. Capital Region,CAP College Foundation,Private,Metro Manila,Makati,"CAP College Foundation, Makati, Metro Manila, Philippines",cap college foundation makati metro manila philippines,,14.5555436,121.014919,google,"126 Amorsolo, corner V.A. Rufino St, Legazpi Village, Makati City, 1229 Metro Manila, Philippines",CLEANED|ROOFTOP
13 - Nat. Capital Region,University of Asia and the Pacific,Private,Metro Manila,Pasig,"University of Asia and the Pacific, Pasig, Metro Manila, Philippines",university of asia and the pacific pasig metro manila philippines,,14.5802953,121.0608408,google,"Pearl Dr, Ortigas Center, Pasig, 1605 Metro Manila, Philippines",CLEANED|GEOMETRIC_CENTER
13 - Nat. Capital Region,Central Colleges of the Philippines,Private,Metro Manila,Quezon City,"Central Colleges of the Philippines, Quezon City, Metro Manila, Philippines",central colleges of the philippines quezon city metro manila philippines,,14.605926,121.0194646,google,"52 Aurora Blvd, Quezon City, 1113 Metro Manila, Philippines",CLEANED|ROOFTOP
13 - Nat. Capital Region,Centro Escolar University-Manila,Private,Metro Manila,Manila,"Centro Escolar University-Manila, Manila, Metro Manila, Philippines",centro escolar university-manila manila metro manila philippines,,14.5988806,120.9917563,google,"9 Mendiola St, San Miguel, Manila, 1008 Metro Manila, Philippines",CLEANED|ROOFTOP
13 - Nat. Capital Region,Chiang Kai Shek College,Private,Metro Manila,Manila,"Chiang Kai Shek College, Manila, Metro Manila, Philippines",chiang kai shek college manila metro manila philippines,,14.6076248,120.9767277,google,"1274 Padre Algue St, Tondo, Manila, 1012 Metro Manila, Philippines",CLEANED|ROOFTOP
13 - Nat. Capital Region,Chinese General Hospital Colleges,Private,Metro Manila,Manila,"Chinese General Hospital Colleges, Manila, Metro Manila, Philippines",chinese general hospital colleges manila metro manila philippines,,14.625192,120.988138,google,"286 Blumentritt Rd, Santa Cruz, Manila, 1014 Metro Manila, Philippines",CLEANED|ROOFTOP
13 - Nat. Capital Region,Saint Anthony Mary Claret College,Private,Metro Manila,Quezon City,"Saint Anthony Mary Claret College, Quezon City, Metro Manila, Philippines",saint anthony mary claret college quezon city metro manila philippines,,14.666715,121.0486194,google,"Sanville Subdivision, 48 Cenacle Dr, Tandang Sora, Quezon City, 1107 Metro Manila, Philippines",CLEANED|ROOFTOP
13 - Nat. Capital Region,Colegio de San Juan de Letran,Private,Metro Manila,Manila,"Colegio de San Juan de Letran, Manila, Metro Manila, Philippines",colegio de san juan de letran manila metro manila philippines,,14.5936796,120.9771474,google,"151 Muralla St, Intramuros, Manila, 1002 Metro Manila, Philippines",CLEANED|ROOFTOP
13 - Nat. Capital Region,Concordia College,Private,Metro Manila,Manila,"Concordia College, Manila, Metro Manila, Philippines",concordia college manila metro manila philippines,,14.5811455,121.002543,google,"1739 Pedro Gil St, Paco, Manila, 1007 Metro Manila, Philippines",CLEANED|ROOFTOP
13 - Nat. Capital Region,De La Salle University-Manila,Private,Metro Manila,Manila,"De La Salle University-Manila, Manila, Metro Manila, Philippines",de la salle university-manila manila metro manila philippines,,14.5647642,120.9931652,google,"2401 Taft Ave, Malate, Manila, 1004 Metro Manila, Philippines",CLEANED|ROOFTOP
13 - Nat. Capital Region,De Ocampo Memorial College,Private,Metro Manila,Manila,"De Ocampo Memorial College, Manila, Metro Manila, Philippines",de ocampo memorial college manila metro manila philippines,,14.6001177,120.9995874,google,"3200 Nagtahan corner Magsaysay Boulevard, Santa Mesa, Manila, Santa Mesa, Manila, 1008 Metro Manila, Philippines",CLEANED|GEOMETRIC_CENTER
13 - Nat. Capital Region,Divine Word Mission Seminary,Private,Metro Manila,Quezon City,"Divine Word Mission Seminary, Quezon City, Metro Manila, Philippines",divine word mission seminary quezon city metro manila philippines,,14.624224,121.030472,google,"101 E Rodriguez Sr. Ave, Quezon City, 1112 Metro Manila, Philippines",CLEANED|ROOFTOP
13 - Nat. Capital Region,De La Salle-College of Saint Benilde,Private,Metro Manila,Manila,"De La Salle-College of Saint Benilde, Manila, Metro Manila, Philippines",de la salle-college of saint benilde manila metro manila philippines,,14.5638473,120.9947909,google,"2544 Taft Ave, Malate, Manila, 1004 Metro Manila, Philippines",CLEANED|ROOFTOP
13 - Nat. Capital Region,Dominican College,Private,Metro Manila,San Juan,"Dominican College, San Juan, Metro Manila, Philippines",dominican college san juan metro manila philippines,,14.5984181,121.0300945,google,"179 F. Blumentritt, San Juan City, 1500 Metro Manila, Philippines",CLEANED|ROOFTOP
13 - Nat. Capital Region,Don Bosco Technical College,Private,Metro Manila,Mandaluyong,"Don Bosco Technical College, Mandaluyong, Metro Manila, Philippines",don bosco technical college mandaluyong metro manila philippines,,14.5903915,121.0252637,google,"736 Gen Kalentong, Mandaluyong City, 1550 Metro Manila, Philippines",CLEANED|ROOFTOP
13 - Nat. Capital Region,Dr. Carlos S. Lanting College,Private,Metro Manila,Quezon City,"Dr. Carlos S. Lanting College, Quezon City, Metro Manila, Philippines",dr. carlos s. lanting college quezon city metro manila philippines,,14.6796594,121.0206033,google,"16 Tandang Sora Ave, Novaliches, Quezon City, 1116 Metro Manila, Philippines",CLEANED|ROOFTOP
13 - Nat. Capital Region,Emilio Aguinaldo College,Private,Metro Manila,Manila,"Emilio Aguinaldo College, Manila, Metro Manila, Philippines",emilio aguinaldo college manila metro manila philippines,,14.582867,120.9871053,google,"1113 San Marcelino St, Paco, Manila, Metro Manila, Philippines",CLEANED|ROOFTOP
13 - Nat. Capital Region,"Eulogio ""Amang"" Rodriguez Institute of Science and Technology",SUC,Metro Manila,Manila,"Eulogio ""Amang"" Rodriguez Institute of Science and Technology, Manila, Metro Manila, Philippines","eulogio ""amang"" rodriguez institute of science and technology manila metro manila philippines",,14.5990138,121.001255,google,"H2X2+JG2, Nagtahan St, Sampaloc, Manila, 1008 Metro Manila, Philippines",CLEANED|GEOMETRIC_CENTER
13 - Nat. Capital Region,Far Eastern University,Private,Metro Manila,Manila,"Far Eastern University, Manila, Metro Manila, Philippines",far eastern university manila metro manila philippines,,14.603738,120.9864748,google,"Nicanor Reyes Sr, Street, Sampaloc, Manila, 1008 Metro Manila, Philippines",CLEANED|GEOMETRIC_CENTER
13 - Nat. Capital Region,FEATI University,Private,Metro Manila,Manila,"FEATI University, Manila, Metro Manila, Philippines",feati university manila metro manila philippines,,14.5972018,120.9818168,google,"Helios Street Sta. Cruz, HXWJ+VPP, Quiapo, Manila, 1001 Metro Manila, Philippines",CLEANED|GEOMETRIC_CENTER
13 - Nat. Capital Region,Febias College of Bible,Private,Metro Manila,Valenzuela,"Febias College of Bible, Valenzuela, Metro Manila, Philippines",febias college of bible valenzuela metro manila philippines,,14.6883445,120.9806333,google,"2 Karuhatan Rd, Valenzuela, Metro Manila, Philippines",CLEANED|ROOFTOP
13 - Nat. Capital Region,FEU-FERN College,Private,Metro Manila,Quezon City,"FEU-FERN College, Quezon City, Metro Manila, Philippines",feu-fern college quezon city metro manila philippines,,14.6852744,121.0644142,google,"Sampaguita Avenue, Mapayapa Village III, Quezon City, 1101 Metro Manila, Philippines",CLEANED|GEOMETRIC_CENTER
13 - Nat. Capital Region,FEU-Dr. Nicanor Reyes Medical Foundation,Private,Metro Manila,Quezon City,"FEU-Dr. Nicanor Reyes Medical Foundation, Quezon City, Metro Manila, Philippines",feu-dr. nicanor reyes medical foundation quezon city metro manila philippines,"FEU-Dr. Nicanor Reyes Medical Foundation, Quezon City, Metro Manila, Philippines, Metro Manila, Philippines",,,,,
13 - Nat. Capital Region,Governor Andres Pascual College,Private,Metro Manila,Navotas,"Governor Andres Pascual College, Navotas, Metro Manila, Philippines",governor andres pascual college navotas metro manila philippines,,14.6636427,120.9444687,google,"1045 M. Naval St, Navotas, 1485 Metro Manila, Philippines",CLEANED|ROOFTOP
13 - Nat. Capital Region,Greenville College,Private,Metro Manila,Pasig,"Greenville College, Pasig, Metro Manila, Philippines",greenville college pasig metro manila philippines,,14.6088299,121.0975981,google,"112 Belfast, Pasig, Metro Manila, Philippines",CLEANED|ROOFTOP
13 - Nat. Capital Region,De La Salle-Araneta University,Private,Metro Manila,Malabon,"De La Salle-Araneta University, Malabon, Metro Manila, Philippines",de la salle-araneta university malabon metro manila philippines,,14.6711938,120.9985612,google,"Salvador Araneta Campus, 303 Victoneta Ave, Malabon, 1475 Metro Manila, Philippines",CLEANED|ROOFTOP
13 - Nat. Capital Region,Holy Rosary College Foundation,Private,Metro Manila,Caloocan,"Holy Rosary College Foundation, Caloocan, Metro Manila, Philippines",holy rosary college foundation caloocan metro manila philippines,,14.7684889,121.0595638,google,"Fr. Hofstee St., Tala, Caloocan, 1427 Metro Manila, Philippines",CLEANED|GEOMETRIC_CENTER
13 - Nat. Capital Region,Institute of Community and Family Health,Private,Metro Manila,Quezon City,"Institute of Community and Family Health, Quezon City, Metro Manila, Philippines",institute of community and family health quezon city metro manila philippines,,14.6211433,121.0091847,google,"4th Floor, Medical Arts Building, 11 Banawe Street, Corner 1113, Cardiz, Quezon City, Metro Manila, Philippines",CLEANED|GEOMETRIC_CENTER
13 - Nat. Capital Region,Institute of Formation and Religious Studies,Private,Metro Manila,Manila,"Institute of Formation and Religious Studies, Manila, Metro Manila, Philippines",institute of formation and religious studies manila metro manila philippines,"Institute of Formation and Religious Studies, Manila, Metro Manila, Philippines, Metro Manila, Philippines",,,,,
13 - Nat. Capital Region,Interface Computer College-Manila,Private,Metro Manila,Manila,"Interface Computer College-Manila, Manila, Metro Manila, Philippines",interface computer college-manila manila metro manila philippines,,14.6028849,120.986107,google,"1881 Henry Yang Complex, Recto Ave, Sampaloc, Manila, 1008 Metro Manila, Philippines",CLEANED|GEOMETRIC_CENTER
13 - Nat. Capital Region,International Baptist College,Private,Metro Manila,Mandaluyong,"International Baptist College, Mandaluyong, Metro Manila, Philippines",international baptist college mandaluyong metro manila philippines,,14.575662,121.047232,google,"474 Arayat, Brgy. Malamig, Mandaluyong City, 1550 Kalakhang Maynila, Philippines",CLEANED|ROOFTOP
13 - Nat. Capital Region,International Graduate School of Leadership,Private,Metro Manila,Quezon City,"International Graduate School of Leadership, Quezon City, Metro Manila, Philippines",international graduate school of leadership quezon city metro manila philippines,,14.6873579,121.0339857,google,"12 Daisy Road, 110 Old Sauyo Rd, Novaliches, Quezon City, Metro Manila, Philippines",CLEANED|ROOFTOP
13 - Nat. Capital Region,Jose Rizal University,Private,Metro Manila,Mandaluyong,"Jose Rizal University, Mandaluyong, Metro Manila, Philippines",jose rizal university mandaluyong metro manila philippines,,14.5925264,121.0285593,google,"80 Shaw Blvd, Mandaluyong City, 1552 Metro Manila, Philippines",CLEANED|ROOFTOP
13 - Nat. Capital Region,University of Caloocan City,LUC,Metro Manila,Caloocan,"University of Caloocan City, Caloocan, Metro Manila, Philippines",university of caloocan city caloocan metro manila philippines,"University of Caloocan City, Caloocan, Metro Manila, Philippines, Metro Manila, Philippines",,,,,
13 - Nat. Capital Region,La Consolacion College-Manila,Private,Metro Manila,Manila,"La Consolacion College-Manila, Manila, Metro Manila, Philippines",la consolacion college-manila manila metro manila philippines,,14.5973897,120.9929004,google,"8 Mendiola St, San Miguel, Manila, 1005 Metro Manila, Philippines",CLEANED|ROOFTOP
13 - Nat. Capital Region,La Consolacion College-Caloocan,Private,Metro Manila,Caloocan,"La Consolacion College-Caloocan, Caloocan, Metro Manila, Philippines",la consolacion college-caloocan caloocan metro manila philippines,"La Consolacion College-Caloocan, Caloocan, Metro Manila, Philippines, Metro Manila, Philippines",,,,,
13 - Nat. Capital Region,Lacson College,Private,Metro Manila,Pasay,"Lacson College, Pasay, Metro Manila, Philippines",lacson college pasay metro manila philippines,,14.5567667,120.9957732,google,"1834 Donada, Manila, 1300 Kalakhang Maynila, Philippines",CLEANED|ROOFTOP
13 - Nat. Capital Region,Centro Escolar Las Piñas,Private,Metro Manila,Las Piñas,"Centro Escolar Las Piñas, Las Piñas, Metro Manila, Philippines",centro escolar las pinas las pinas metro manila philippines,,14.4257924,121.0128924,google,"Pilar Rd, Las Piñas, 1750 Metro Manila, Philippines",CLEANED|GEOMETRIC_CENTER
13 - Nat. Capital Region,Regis Marie College,Private,Metro Manila,Parañaque,"Regis Marie College, Parañaque, Metro Manila, Philippines",regis marie college paranaque metro manila philippines,,14.4767496,121.0015305,google,"Villanueva Village Basketball Court, Lire Ln, Parañaque, 1709 Metro Manila, Philippines",CLEANED|ROOFTOP
13 - Nat. Capital Region,Lyceum of the Philippines University,Private,Metro Manila,Manila,"Lyceum of the Philippines University, Manila, Metro Manila, Philippines",lyceum of the philippines university manila metro manila philippines,,14.5915772,120.9777733,google,"Muralla St, Intramuros, Manila, 1002 Metro Manila, Philippines",CLEANED|GEOMETRIC_CENTER
13 - Nat. Capital Region,City of Malabon University,LUC,Metro Manila,Malabon,"City of Malabon University, Malabon, Metro Manila, Philippines",city of malabon university malabon metro manila philippines,,14.6537811,120.9601605,google,"Pampano St, Maya-Maya St, Malabon, Metro Manila, Philippines",CLEANED|GEOMETRIC_CENTER
13 - Nat. Capital Region,Manila Central University,Private,Metro Manila,Caloocan,"Manila Central University, Caloocan, Metro Manila, Philippines",manila central university caloocan metro manila philippines,,14.6590004,120.9862475,google,"Manila Central University, Epifanio de los Santos Ave, Morning Breeze Subdivision, Caloocan, 1400 Metro Manila, Philippines",CLEANED|ROOFTOP
13 - Nat. Capital Region,Manila Tytana Colleges,Private,Metro Manila,Pasay,"Manila Tytana Colleges, Pasay, Metro Manila, Philippines",manila tytana colleges pasay metro manila philippines,,14.5404574,120.9876894,google,"Metropolitan Park, President, 1302 Diosdado Macapagal Blvd, Pasay City, 1300 Metro Manila, Philippines",CLEANED|ROOFTOP
13 - Nat. Capital Region,Manila Law College,Private,Metro Manila,,,metro manila philippines,,,,,,
13 - Nat. Capital Region,Manila Adventist College,Private,Metro Manila,Pasay,"Manila Adventist College, Pasay, Metro Manila, Philippines",manila adventist college pasay metro manila philippines,,14.5555351,120.9951149,google,"1975 San Juan, Pasay City, 1300 Kalakhang Maynila, Philippines",CLEANED|ROOFTOP
13 - Nat. Capital Region,Manila Theological College,Private,Metro Manila,Manila,"Manila Theological College, Manila, Metro Manila, Philippines",manila theological college manila metro manila philippines,,14.612114,120.984072,google,"1671 MBC Bldg., Sta. Cruz Alvarez St, Santa Cruz, Manila, 1003 Metro Manila, Philippines",CLEANED|ROOFTOP
13 - Nat. Capital Region,Manuel L. Quezon University,Private,Metro Manila,Quezon City,"Manuel L. Quezon University, Quezon City, Metro Manila, Philippines",manuel l. quezon university quezon city metro manila philippines,,14.6356427,121.0437983,google,"790 Epifanio de los Santos Ave, Diliman, Quezon City, 1103 Metro Manila, Philippines",CLEANED|ROOFTOP
13 - Nat. Capital Region,Mapua University-Manila,Private,Metro Manila,Manila,"Mapua University-Manila, Manila, Metro Manila, Philippines",mapua university-manila manila metro manila philippines,,14.5904883,120.9779484,google,"658 Muralla St, Intramuros, Manila, 1002 Metro Manila, Philippines",CLEANED|ROOFTOP
13 - Nat. Capital Region,Mapua University-Makati,Private,Metro Manila,Makati,"Mapua University-Makati, Makati, Metro Manila, Philippines",mapua university-makati makati metro manila philippines,,14.5664448,121.0150497,google,"1191 Pablo Ocampo Sr. Ext, Makati City, Metro Manila, Philippines",CLEANED|ROOFTOP
13 - Nat. Capital Region,Marikina Polytechnic College,SUC,Metro Manila,Marikina,"Marikina Polytechnic College, Marikina, Metro Manila, Philippines",marikina polytechnic college marikina metro manila philippines,,14.6323331,121.0986601,google,"2 J. Chanyungco St, Marikina, 1800 Metro Manila, Philippines",CLEANED|ROOFTOP
13 - Nat. Capital Region,Martinez Memorial College,Private,Metro Manila,Caloocan,"Martinez Memorial College, Caloocan, Metro Manila, Philippines",martinez memorial college caloocan metro manila philippines,,14.6385269,120.9757766,google,"JXQG+C86, A. Mabini St, Maypajo, Manila, Metro Manila, Philippines",CLEANED|GEOMETRIC_CENTER
13 - Nat. Capital Region,Mary Chiles College,Private,Metro Manila,Manila,"Mary Chiles College, Manila, Metro Manila, Philippines",mary chiles college manila metro manila philippines,,14.603641,120.989787,google,"667 Dalupan St, Sampaloc, Manila, 1008 Metro Manila, Philippines",CLEANED|ROOFTOP
13 - Nat. Capital Region,CICM Maryhill School of Theology,Private,Metro Manila,Quezon City,"CICM Maryhill School of Theology, Quezon City, Metro Manila, Philippines",cicm maryhill school of theology quezon city metro manila philippines,,14.6229276,121.0285972,google,"62 14th St, corner Gilmore Ave, Quezon City, 1112 Metro Manila, Philippines",CLEANED|ROOFTOP
13 - Nat. Capital Region,Metro Business College-Pasay,Private,Metro Manila,Pasay,"Metro Business College-Pasay, Pasay, Metro Manila, Philippines",metro business college-pasay pasay metro manila philippines,"Metro Business College-Pasay, Pasay, Metro Manila, Philippines, Metro Manila, Philippines",,,,,
13 - Nat. Capital Region,Metro Manila College,Private,Metro Manila,Quezon City,"Metro Manila College, Quezon City, Metro Manila, Philippines",metro manila college quezon city metro manila philippines,,14.7266762,121.0435247,google,"Jordan Plaines Subdivision, 1736 Joel, Novaliches, Quezon City, 1124 Metro Manila, Philippines",CLEANED|ROOFTOP
13 - Nat. Capital Region,Metropolitan Medical Center College of Arts Science and Technology,Private,Metro Manila,Manila,"Metropolitan Medical Center College of Arts Science and Technology, Manila, Metro Manila, Philippines",metropolitan medical center college of arts science and technology manila metro manila philippines,"Metropolitan Medical Center College of Arts Science and Technology, Manila, Metro Manila, Philippines, Metro Manila, Philippines",,,,,
13 - Nat. Capital Region,Miriam College,Private,Metro Manila,Quezon City,"Miriam College, Quezon City, Metro Manila, Philippines",miriam college quezon city metro manila philippines,"Miriam College, Quezon City, Metro Manila, Philippines, Metro Manila, Philippines",,,,,
13 - Nat. Capital Region,Mother of Life Center,Private,Metro Manila,Quezon City,"Mother of Life Center, Quezon City, Metro Manila, Philippines",mother of life center quezon city metro manila philippines,,14.7306719,121.036182,google,"123 Susano Rd, Novaliches, Quezon City, 1117 Metro Manila, Philippines",CLEANED|ROOFTOP
13 - Nat. Capital Region,Pamantasan ng Lungsod ng Muntinlupa,LUC,Metro Manila,Muntinlupa,"Pamantasan ng Lungsod ng Muntinlupa, Muntinlupa, Metro Manila, Philippines",pamantasan ng lungsod ng muntinlupa muntinlupa metro manila philippines,,14.3892443,121.025428,google,"92QG+M5V, University Rd, Muntinlupa, 1772 Metro Manila, Philippines",CLEANED|GEOMETRIC_CENTER
13 - Nat. Capital Region,NAMEI Polytechnic Institute,Private,Metro Manila,Manila,"NAMEI Polytechnic Institute, Manila, Metro Manila, Philippines",namei polytechnic institute manila metro manila philippines,,14.5876299,121.0238316,google,"123 A. Mabini, Mandaluyong City, 1550 Kalakhang Maynila, Philippines",CLEANED|ROOFTOP
13 - Nat. Capital Region,National College of Business and Arts-Cubao,Private,Metro Manila,Quezon City,"National College of Business and Arts-Cubao, Quezon City, Metro Manila, Philippines",national college of business and arts-cubao quezon city metro manila philippines,,14.628481,121.067901,google,"994 Aurora Blvd, Project 4, Quezon City, 1109 Metro Manila, Philippines",CLEANED|ROOFTOP
13 - Nat. Capital Region,National College of Business and Arts-Fairview,Private,Metro Manila,Quezon City,"National College of Business and Arts-Fairview, Quezon City, Metro Manila, Philippines",national college of business and arts-fairview quezon city metro manila philippines,,14.705871,121.068024,google,"Commonwealth Ave, cor Regalado St, Quezon City, Metro Manila, Philippines",CLEANED|ROOFTOP
13 - Nat. Capital Region,The National Teachers College,Private,Metro Manila,Manila,"The National Teachers College, Manila, Metro Manila, Philippines",the national teachers college manila metro manila philippines,,14.5980765,120.9892381,google,"629 J Nepomuceno St, Quiapo, Manila, 1001 Metro Manila, Philippines",CLEANED|ROOFTOP
13 - Nat. Capital Region,National University,Private,Metro Manila,Manila,"National University, Manila, Metro Manila, Philippines",national university manila metro manila philippines,,14.6043164,120.9946287,google,"551 F Jhocson St, Sampaloc, Manila, 1008 Metro Manila, Philippines",CLEANED|ROOFTOP
13 - Nat. Capital Region,Navotas Polytechnic College,LUC,Metro Manila,Navotas,"Navotas Polytechnic College, Navotas, Metro Manila, Philippines",navotas polytechnic college navotas metro manila philippines,,14.6446113,120.9565317,google,"JXV4+RJV, Bangus St, Navotas, Metro Manila, Philippines",CLEANED|GEOMETRIC_CENTER
13 - Nat. Capital Region,New Era University,Private,Metro Manila,Quezon City,"New Era University, Quezon City, Metro Manila, Philippines",new era university quezon city metro manila philippines,,14.6639296,121.0580764,google,"9 Central Ave, Quezon City, 1107 Metro Manila, Philippines",CLEANED|ROOFTOP
