title,project_unit,project_name,area,floor_area,price,location,bedrooms,bathrooms,floor,condition,property_type,offer_type,construction_year,parking_spaces,ownership_type,project_link,publish_by
"3 Bedroom For Sale in Kirov Tower, The Proscenium Residences Makati City",,,,224 sqm,"₱ 90,000,000","Makati, Metro Manila",3 bedrooms,3 bathrooms,,,Condo,For Sale,,,,,Eva Marzan
"1 Bedroom For Lease Lincoln Tower, Makati City",,,,64 sqm,"₱ 24,000,000","Rockwell, Makati",1 bedroom,1 bathroom,,,Condo,For Sale,,,,,Eva Marzan
1 bedroom The Proscenium Lincoln condo for sale Rockwell Makati condo for sale,,,,54 sqm,"₱ 19,000,000","Rockwell, Makati",1 bedroom,1 bathroom,,,Condo,For Sale,,,,,The Lead Realty
"1 Bedroom For Sale in The Proscenium Residences, Makati City",The Proscenium,The Proscenium,,60 sqm,"₱ 23,500,000","Poblacion, Makati",1 bedroom,1 bathroom,,,Condo,For Sale,,,,https://www.lamudi.com.ph/projects/41032-73-98162a6702eb-e084-941017d9-bfd5-46f1,The Infinity Realty Inc.
"2 Bedroom For Sale in Cityland Calle Estacion, Makati City",,,,73 sqm,"₱ 8,500,000","Makati, Metro Manila",2 bedrooms,2 bathrooms,,,Condo,For Sale,,,,,Erlyn Merino
"2 Bedroom For Sale in Lincoln Tower, Makati City",,,,119 sqm,"₱ 46,000,000","Guadalupe Viejo, Makati",2 bedrooms,2 bathrooms,,,Condo,For Sale,,,,,The Infinity Realty Inc.
Clean Title RFO Studio Unit w/ Parking FOR SALE at Shang Salcedo Place Makati,Shang Salcedo Place,Shang Salcedo Place,,36 sqm,"₱ 10,900,000","Makati, Metro Manila",,1 bathroom,17,Fully furnished,Studio,For Sale,,,,https://www.lamudi.com.ph/projects/shang-salcedo-place/,Aurea Caampued
"Elegant 3BR Unit For Sale in One Roxas Triangle, Makati City",One Roxas Triangle,One Roxas Triangle,286 sqm,286 sqm,"₱ 150,000,000","Urdaneta, Makati",3 bedrooms,3 bathrooms,,Fully furnished,Condo,For Sale,,3,Freehold,https://www.lamudi.com.ph/projects/41032-73-fe193415beec-f46a-6b8934d0-a14c-4e76,RMS Capitals
FOR SALE 3BR UNIT IN TWO ROXAS TRIANGLE,,,,363 sqm,"₱ 175,000,000","Urdaneta, Makati",3 bedrooms,1 bathroom,,Unfurnished,Condo,For Sale,,3,,,HousingInteractive Inc.
"A luxurious 3-bedroom apartment in the heart of Rockwell, Makati City",,,,150 sqm,,"Makati, Metro Manila",3 bedrooms,3 bathrooms,41,Partly furnished,Condo,Buy & Rent,,2,,,HousingInteractive Inc.
FOR SALE/RENT 3BR UNIT IN TRUMP TOWER MAKATI,,,,200 sqm,,"Makati, Metro Manila",3 bedrooms,1 bathroom,33,Fully furnished,Condo,Buy & Rent,,,,,HousingInteractive Inc.
"A fancy 1-bedroom apartment in Rockwell, Makati",,,,54 sqm,"₱ 19,000,000","Guadalupe Viejo, Makati",1 bedroom,1 bathroom,,Fully furnished,Condo,For Sale,,1,,,HousingInteractive Inc.
"A fancy 1-bedroom apartment in Rockwell, Makati",,,,70 sqm,"₱ 23,000,000","Makati, Metro Manila",1 bedroom,1 bathroom,,Fully furnished,Condo,For Sale,,1,,,HousingInteractive Inc.
"2 Bedroom For Manansala Tower, Makati City",,,,116 sqm,"₱ 33,000,000","Makati, Metro Manila",2 bedrooms,2 bathrooms,,,Condo,For Sale,,,,,Eva Marzan
"3 Bedroom For sale in One Legazpi Park, Makati City",One Legazpi Park,One Legazpi Park,,120 sqm,"₱ 30,000,000","San Lorenzo, Makati",3 bedrooms,3 bathrooms,,,Condo,For Sale,,,,https://www.lamudi.com.ph/projects/one-legazpi-park/,The Infinity Realty Inc.
"1 Bedroom For Sale in Manansala, Makati City",,,,71 sqm,"₱ 20,000,000","Poblacion, Makati",1 bedroom,1 bathroom,,,Condo,For Sale,,,,,The Infinity Realty Inc.
"2 Bedroom For Sale One Rockwell West, Makati City",One Rockwell,One Rockwell,,95 sqm,"₱ 30,000,000","Poblacion, Makati",2 bedrooms,1 bathroom,,,Condo,For Sale,,,,https://www.lamudi.com.ph/projects/one-rockwell/,Eva Marzan
"1 Bedroom For Sale in One Rockwell East, Makati City",One Rockwell,One Rockwell,,71 sqm,"₱ 18,100,000","Poblacion, Makati",1 bedroom,1 bathroom,,,Condo,For Sale,,,,https://www.lamudi.com.ph/projects/one-rockwell/,The Infinity Realty Inc.
"3 Bedroom For Sale in Lorraine Tower, Makati City",,,,138 sqm,"₱ 57,000,000","Guadalupe Viejo, Makati",3 bedrooms,3 bathrooms,,,Condo,For Sale,,,,,The Infinity Realty Inc.
"2 Bedroom For Sale One Rockwell West, Makati City",One Rockwell,One Rockwell,,106 sqm,"₱ 35,000,000","Poblacion, Makati",2 bedrooms,1 bathroom,,,Condo,For Sale,,,,https://www.lamudi.com.ph/projects/one-rockwell/,Eva Marzan
"FOR SALE Fully-Furnished Corner Unit located at Legaspi Village, Makati City",,,,140 sqm,"₱ 13,000,000","Legazpi Village, Makati",4 bedrooms,2 bathrooms,,Fully furnished,Condo,For Sale,,1,,,Grandeur Realty
"FOR SALE - Unfurnished Condo Unit in Solstice at Circuit Makati, Makati City",,,,109 sqm,"₱ 18,500,000","Makati, Metro Manila",3 bedrooms,3 bathrooms,,,Condo,For Sale,,,,,Luxe Realty
"THE RISE | Two Bedroom 2BR Unit For Sale in The Rise, Malugay, Makati",,,72 sqm,72 sqm,"₱ 15,354,000","San Antonio, Makati",2 bedrooms,2 bathrooms,,Unfurnished,Condo,For Sale,,,,,Zach Pe
"FOR SALE - Studio Unit in Antel Spa Residences, Brgy. Poblacion, Makati City",,,,29 sqm,"₱ 3,500,000","Makati, Metro Manila",,,,,Studio,For Sale,,,,,Luxe Realty
Proscenium at Rockwell Studio-type Furnished for SALE in Makati City,Proscenium at Rockwell,Proscenium at Rockwell,38 sqm,38 sqm,"₱ 13,000,000","Guadalupe Viejo, Makati",,1 bathroom,,Fully furnished,Condo,For Sale,,,,https://www.lamudi.com.ph/projects/proscenium-at-rockwell-1/,Lemontree Real Estate Inc.
"Sale: Mid Floor 3BR Condominium Flat in Sakura Tower, Proscenium",,,162 sqm,162 sqm,"₱ 75,000,000","Guadalupe Viejo, Makati",3 bedrooms,33 bathrooms,,Fully furnished,Condo,For Sale,,2,Freehold,,JP Cruz
"Sale: High Floor 2BR Corner Condominium Loft Unit in One Rockwell East, Makati City",One Rockwell East Tower,One Rockwell East Tower,"1,111 sqm",111 sqm,"₱ 30,000,000","Makati, Metro Manila",2 bedrooms,2 bathrooms,,Unfurnished,Loft,For Sale,,1,Freehold,https://www.lamudi.com.ph/projects/41032-73-2b4fc0b40c0-6330-79dc6a25-96e7-476b,JP Cruz
For Sale/Rent: 1-Bedroom Unit in Solstice Tower 2,,,58 sqm,58 sqm,,"Urdaneta, Makati",1 bedroom,1 bathroom,,Partly furnished,Condo,Buy & Rent,,1,,,Brad Zafe
"2 Bedroom For Lease in Lincoln Tower, Makati City",,,,119 sqm,"₱ 46,000,000","Guadalupe Viejo, Makati",2 bedrooms,2 bathrooms,,,Condo,For Sale,,,,,Eva Marzan
3 Bedroom For Sale In One Rockwell West Makati City,One Rockwell,One Rockwell,,106 sqm,"₱ 29,950,000","Poblacion, Makati",2 bedrooms,2 bathrooms,,,Condo,For Sale,,,,https://www.lamudi.com.ph/projects/one-rockwell/,Eva Marzan
2 Bedroom For One Rockwell Makati City,,,,98 sqm,"₱ 29,600,000","Poblacion, Makati",2 bedrooms,2 bathrooms,,,Condo,For Sale,,,,,Eva Marzan
1 Bedroom For Sale  in One Rockwell West Makati City,One Rockwell,One Rockwell,,71 sqm,"₱ 19,500,000","Poblacion, Makati",1 bedroom,1 bathroom,,,Condo,For Sale,,,,https://www.lamudi.com.ph/projects/one-rockwell/,Eva Marzan
1 Bedroom For Sale  in One Rockwell West Makati City,One Rockwell,One Rockwell,,106 sqm,"₱ 35,000,000","Poblacion, Makati",1 bedroom,1 bathroom,,,Condo,For Sale,,,,https://www.lamudi.com.ph/projects/one-rockwell/,Eva Marzan
1 Bedroom For Sale in One Rockwell East,One Rockwell,One Rockwell,,125 sqm,"₱ 40,000,000","Poblacion, Makati",1 bedroom,1 bathroom,,,Condo,For Sale,,,,https://www.lamudi.com.ph/projects/one-rockwell/,Eva Marzan
"3 Bedroom For Sale in Lorraine Tower, Makati City",,,,138 sqm,"₱ 57,000,000","Guadalupe Viejo, Makati",3 bedrooms,3 bathrooms,,,Condo,For Sale,,,,,Eva Marzan
FOR SALE 1BR CORNER UNIT - KNIGHTSBRIDGE RESIDENCES,,,,37 sqm,"₱ 6,700,000","Makati, Metro Manila",1 bedroom,1 bathroom,7,Fully furnished,Condo,For Sale,,,,,HousingInteractive Inc.
2 BEDROOM LOFT TYPE CONDO IN ONE ROCKWELL,One Rockwell,One Rockwell,111 sqm,111 sqm,"₱ 30,000,000","Makati, Metro Manila",2 bedrooms,2 bathrooms,,Unfurnished,Condo,For Sale,,1,,https://www.lamudi.com.ph/projects/one-rockwell/,Rhonalyn Sinag
1BR UNIT WITH BALCONY FOR SALE IN MAKATI EXECUTIVE TOWER 4,,,,36 sqm,"₱ 3,500,000","Pio Del Pilar, Makati",1 bedroom,1 bathroom,,Unfurnished,Condo,For Sale,,,,,HousingInteractive Inc.
"Fully Furnished 1BR Unit for SALE at Raffle Residences, Makati City",,,,81 sqm,"₱ 29,000,000","Makati, Metro Manila",1 bedroom,1 bathroom,1,Fully furnished,Condo,For Sale,,1,,,HousingInteractive Inc.
FULLY FURNISHED STUDIO UNIT FOR SALE IN PRINCE TOWER,,,,27 sqm,"₱ 4,218,000","Bel-Air, Makati",1 bedroom,1 bathroom,,Fully furnished,Condo,For Sale,,,,,HousingInteractive Inc.
"3 Bedroom For Sale in One Roxas Triangle, Makati City",One Roxas Triangle,One Roxas Triangle,,286 sqm,"₱ 150,000,000","Makati, Metro Manila",3 bedrooms,3 bathrooms,,,Condo,For Sale,,,,https://www.lamudi.com.ph/projects/41032-73-fe193415beec-f46a-6b8934d0-a14c-4e76,Eva Marzan
Condominium For Sale in One Rockwell West!!!,One Rockwell,One Rockwell,,70 sqm,"₱ 23,000,000","Rockwell, Makati",1 bedroom,1 bathroom,,,Condo,For Sale,,,,https://www.lamudi.com.ph/projects/one-rockwell/,Adel Infinity
Condominium for Sale  in One Rockwell WestTower!!!,One Rockwell,One Rockwell,,70 sqm,"₱ 23,000,000","Makati, Metro Manila",1 bedroom,1 bathroom,,,Condo,For Sale,,,,https://www.lamudi.com.ph/projects/one-rockwell/,Leonelyn Infinity
"For Sale 4BR Fully Furnished in Forbes Tower, Valero, Makati City",Forbes Tower Condominium,Forbes Tower Condominium,286 sqm,286 sqm,"₱ 50,000,000","Bel-Air, Makati",4 bedrooms,4 bathrooms,,Fully furnished,Condo,For Sale,,1,Freehold,https://www.lamudi.com.ph/projects/forbes-tower-condominium/,RMS Capitals
RENT TO OWN  CONDO ALONG ROXAS BOULEVARD PASAY CITY PALM BEACH WEST,,,43 sqm,43 sqm,"₱ 8,000,000","Pasay, Metro Manila",2 bedrooms,1 bathroom,,Unfurnished,Condo,For Sale,,,Freehold,,Roland Nacion
RENT TO OWN  CONDO ALONG ROXAS BOULEVARD PASAY CITY PALM BEACH WEST,,,43 sqm,43 sqm,"₱ 8,000,000","Pasay, Metro Manila",2 bedrooms,1 bathroom,,,Condo,For Sale,,,,,Roland Nacion
FOR SALE CONDO ALONG ROXAS BOULEVARD PASAY CITY PALM BEACH WEST,,,43 sqm,43 sqm,"₱ 8,000,000","Pasay, Metro Manila",2 bedrooms,1 bathroom,,Unfurnished,Condo,For Sale,,,Freehold,,Roland Nacion
FOR SALE CONDO ALONG ROXAS BOULEVARD PASAY CITY PALM BEACH WEST,,,43 sqm,43 sqm,"₱ 8,000,000","Pasay, Metro Manila",2 bedrooms,1 bathroom,,,Condo,For Sale,,,Freehold,,Roland Nacion
CONDO FOR SALE ALONG ROXAS BOULEVARD PASAY CITY PALM BEACH WEST,,,43 sqm,43 sqm,"₱ 8,000,000","Pasay, Metro Manila",2 bedrooms,1 bathroom,,Unfurnished,Condo,For Sale,,,Freehold,,Roland Nacion
3 Bedrooms For Sale Mi Casa in Bay Area Pasay,Mi Casa,Mi Casa,113 sqm,113 sqm,"₱ 20,310,000","Pasay, Metro Manila",3 bedrooms,3 bathrooms,,Unfurnished,Condo,For Sale,,1,Freehold,https://www.lamudi.com.ph/projects/mi-casa/,Federal Land Condo Projects PH
FOR SALE CONDO IN TAFT LRT QUANTUM RESIDENCES,,,24 sqm,24 sqm,"₱ 4,500,000","Pasay, Metro Manila",,1 bathroom,,Unfurnished,Condo,For Sale,,,Freehold,,Roland Nacion
CONDO FOR SALE ALONG TAFT LRT AIRBNB QUANTUM RESIDENCES,,,24 sqm,24 sqm,"₱ 4,500,000","Pasay, Metro Manila",,1 bathroom,,Unfurnished,Condo,For Sale,,,Freehold,,Roland Nacion
CONDO FOR SALE ALONG TAFT BUENDIA QUANTUM RESIDENCES,,,24 sqm,24 sqm,"₱ 4,500,000","Pasay, Metro Manila",,1 bathroom,,Unfurnished,Condo,For Sale,,,Freehold,,Roland Nacion
CONDO FOR SALE ALONG TAFT BUENDIA QUANTUM RESIDENCES,,,24 sqm,24 sqm,"₱ 4,500,000","Pasay, Metro Manila",,1 bathroom,,,Condo,For Sale,,,Freehold,,Roland Nacion
READY FOR OCCUPANCY CONDO IN PASAY ALONG TAFT LRT QUANTUM RESIENCES,,,24 sqm,24 sqm,"₱ 4,500,000","Pasay, Metro Manila",,1 bathroom,,Unfurnished,Condo,For Sale,,,Freehold,,Roland Nacion
READY FOR OCCUPANCY CONDO IN PASAY ALONG TAFT LRT QUANTUM RESIENCES,,,24 sqm,24 sqm,"₱ 4,500,000","Pasay, Metro Manila",,1 bathroom,,Unfurnished,Condo,For Sale,,,,,Roland Nacion
For Sale 1BR Unit in Shore Residences MOA Complex,Shore Residences,Shore Residences,27 sqm,27 sqm,"₱ 3,999,000","Pasay, Metro Manila",1 bedroom,1 bathroom,10,Unfurnished,Condo,For Sale,,,Freehold,https://www.lamudi.com.ph/projects/41032-73-ebcd8a8b248-bdf-22782773-86ca-456c,Dan Guiam
4 Star Hotels for sale,,,"4,596 sqm","2,733 sqm","₱ 4,500,000,000","Pasay, Metro Manila",,,,,Condotel,For Sale,,,,,A-list Properties
AIRBNB CONDO ALONG TAFT LRT QUANTUM RESIDENCES,,,28 sqm,28 sqm,"₱ 4,800,000","Pasay, Metro Manila",1 bedroom,1 bathroom,,Unfurnished,Condo,For Sale,,,Freehold,,Roland Nacion
READY FOR OCCUPANCY CONDO IN PASAY TAFT QUANTUM RESIDENCES,,,28 sqm,28 sqm,"₱ 4,800,000","Pasay, Metro Manila",1 bedroom,1 bathroom,,,Condo,For Sale,,,,,Roland Nacion
FOR SALE CONDO ALONG TAFT AIRBNB 21 AMENITIES QUANTUM RESIDENCES,,,28 sqm,28 sqm,"₱ 4,800,000","Pasay, Metro Manila",1 bedroom,1 bathroom,,Unfurnished,Condo,For Sale,,,Freehold,,Roland Nacion
For Sale 2 Bedroom Condo La Verti Residences Taft Avenue Pasay City,,,57 sqm,57 sqm,"₱ 6,700,000","Pasay, Metro Manila",2 bedrooms,1 bathroom,40,Unfurnished,Condo,For Sale,,,,,Obet Guzman Jr.
Residential Condominium in R Square Residences Manila City For Sale,,,,28 sqm,"₱ 6,500,000","Pasay, Metro Manila",,,,,Condo,For Sale,,,Freehold,,My Hometown Realty and Developer Inc. (DMGS)
For Sale Condo in Pasay 1 Bedroom  Near De La Salle University and Arellano Law School,Quantum Residences,Quantum Residences,31 sqm,1 sqm,"₱ 5,500,000","San Isidro, Pasay",1 bedroom,1 bathroom,12,Unfurnished,Condo,For Sale,,,Freehold,https://www.lamudi.com.ph/projects/quantum-residences/,Property by Jeann & Ruffa
For Sale Condo in Pasay 1 Bedroom  Near De La Salle University and Arellano Law School,Quantum Residences,Quantum Residences,31 sqm,1 sqm,"₱ 5,500,000","San Isidro, Pasay",1 bedroom,1 bathroom,12,,Condo,For Sale,,,Freehold,https://www.lamudi.com.ph/projects/quantum-residences/,Property by Jeann & Ruffa
READY FOR OCCUPANCY CONDO ALONG TAFT BUENDIA PASAY CITY QUANTUM RESIDENCES,,,21 sqm,1 sqm,"₱ 3,300,000","Pasay, Metro Manila",1 bedroom,1 bathroom,,Unfurnished,Condo,For Sale,,,Freehold,,Roland Nacion
For Sale Condo in Pasay 1Bedroom  Near De La Salle University and Arellano Law School,Quantum Residences,Quantum Residences,31 sqm,1 sqm,"₱ 5,500,000","San Isidro, Pasay",1 bedroom,1 bathroom,12,Unfurnished,Condo,For Sale,,,Freehold,https://www.lamudi.com.ph/projects/quantum-residences/,Property by Jeann & Ruffa
For Sale Condo in Pasay 1Bedroom  Near De La Salle University and Arellano Law School,Quantum Residences,Quantum Residences,31 sqm,1 sqm,"₱ 5,500,000","San Isidro, Pasay",1 bedroom,1 bathroom,12,,Condo,For Sale,,,Freehold,https://www.lamudi.com.ph/projects/quantum-residences/,Property by Jeann & Ruffa
For Sale Condo in Pasay Near De La Salle University and Arellano Law School,Quantum Residences,Quantum Residences,31 sqm,1 sqm,"₱ 5,500,000","San Isidro, Pasay",1 bedroom,1 bathroom,12,Unfurnished,Condo,For Sale,,,Freehold,https://www.lamudi.com.ph/projects/quantum-residences/,Property by Jeann & Ruffa
Ready for Occupancy Condo in Pasay near De La Salle University Manila,Quantum Residences,Quantum Residences,31 sqm,1 sqm,"₱ 5,500,000","San Isidro, Pasay",1 bedroom,1 bathroom,12,Unfurnished,Condo,For Sale,,,Freehold,https://www.lamudi.com.ph/projects/quantum-residences/,Property by Jeann & Ruffa
1 Bedroom Condo in Pasay Ready for Occupancy Mall of Asia,Quantum Residences,Quantum Residences,31 sqm,1 sqm,"₱ 5,500,000","San Isidro, Pasay",1 bedroom,1 bathroom,12,Unfurnished,Condo,For Sale,,,,https://www.lamudi.com.ph/projects/quantum-residences/,Property by Jeann & Ruffa
"1 Bedroom For Sale in Bay Gardens Condominium, Pasay City",,,46 sqm,46 sqm,"₱ 8,000,000","Pasay, Metro Manila",1 bedroom,1 bathroom,7,Partly furnished,Condo,For Sale,2001,1,Freehold,,Eva Marzan
1 Bedroom Condo in Pasay Ready for Occupancy Mall of Asia For Rent,Quantum Residences,Quantum Residences,31 sqm,1 sqm,"₱ 5,500,000","San Isidro, Pasay",1 bedroom,1 bathroom,12,Unfurnished,Condo,For Sale,,,Freehold,https://www.lamudi.com.ph/projects/quantum-residences/,Property by Jeann & Ruffa
READY FOR OCCUPANCY CONDO ALONG TAFT BUENDIA PASAY CITY QUANTUM RESIDENCES,,,21 sqm,1 sqm,"₱ 3,300,000","Pasay, Metro Manila",,1 bathroom,,Unfurnished,Condo,For Sale,,,Freehold,,Roland Nacion
4 Star Hotels for sale,,,"4,596 sqm","2,633 sqm","₱ 4,500,000,000","Pasay, Metro Manila",,,,,Condotel,For Sale,,,,,A-list Properties
NEWLY RENOVATED 3-BEDROOM LOFT-TYPE CONDO IN TWO SERENDRA,The Parkside Villas,The Parkside Villas,111 sqm,111 sqm,"₱ 28,000,000","Newport City, Pasay",3 bedrooms,3 bathrooms,,Partly furnished,Condo,For Sale,,,,https://www.lamudi.com.ph/projects/the-parkside-villas/,Rhonalyn Sinag
NEWLY RENOVATED 4-BEDROOM CONDO IN PARKSIDE VILLAS,The Parkside Villas,The Parkside Villas,141 sqm,141 sqm,"₱ 28,000,000","Newport City, Pasay",4 bedrooms,2 bathrooms,,Partly furnished,Condo,For Sale,,2,,https://www.lamudi.com.ph/projects/the-parkside-villas/,Rhonalyn Sinag
1 BEDROOM FOR SALE SLONG TAFT BUENDIA QUANTUM RESIDENCES,,,31 sqm,1 sqm,"₱ 4,500,000","Pasay, Metro Manila",1 bedroom,1 bathroom,12,Unfurnished,Condo,For Sale,,,Freehold,,Property by Jeann & Ruffa
𝐑𝐚𝐫𝐞 𝐂𝐨𝐦𝐛𝐢𝐧𝐞𝐝 𝐔𝐧𝐢𝐭𝐬 𝐟𝐨𝐫 𝐒𝐚𝐥𝐞 𝐚𝐭 𝟏𝟎𝟏 𝐍𝐞𝐰𝐩𝐨𝐫𝐭 𝐢𝐧 𝐏𝐚𝐬𝐚𝐲 𝐂𝐢𝐭𝐲,,,53 sqm,53 sqm,"₱ 10,000,000","Newport City, Pasay",1 bedroom,1 bathroom,,Unfurnished,Condo,For Sale,,,,,Jared Dimangondayao
1 Bedroom Condo in Pasay Ready for Occupancy Mall of Asia For Rent,Quantum Residences,Quantum Residences,31 sqm,1 sqm,"₱ 33,000","San Isidro, Pasay",1 bedroom,1 bathroom,12,Unfurnished,Condo,For Sale,,,Freehold,https://www.lamudi.com.ph/projects/quantum-residences/,Property by Jeann & Ruffa
Ready for Occupancy Condo in Pasay near De La Salle University Manila,Quantum Residences,Quantum Residences,31 sqm,1 sqm,"₱ 33,000","San Isidro, Pasay",1 bedroom,1 bathroom,12,Unfurnished,Condo,For Sale,,,Freehold,https://www.lamudi.com.ph/projects/quantum-residences/,Property by Jeann & Ruffa
"Quantum Residences Ready For Occupancy near LRT Gil Puyat Station,, Arellano University and De La Salle University",Quantum Residences,Quantum Residences,31 sqm,1 sqm,"₱ 33,000","San Isidro, Pasay",1 bedroom,1 bathroom,12,Unfurnished,Condo,For Sale,,,Freehold,https://www.lamudi.com.ph/projects/quantum-residences/,Property by Jeann & Ruffa
"rent to own 1 bedroom condo for sale in chino roces makati city near greenbelt, ayala, rcbc plaza",Quantum Residences,Quantum Residences,37 sqm,37 sqm,Request Details,"San Isidro, Pasay",1 bedroom,1 bathroom,,,Condo,Buy & Rent,,,,https://www.lamudi.com.ph/projects/quantum-residences/,Dream Property
READY FOR OCCUPANCY CONDO ALONG TAFT AVENUE PASAY CITY QUANTUM RESIDENCES QUANTUM RESIDENCES,Quantum Residences,Quantum Residences,31 sqm,1 sqm,"₱ 33,000","San Isidro, Pasay",1 bedroom,1 bathroom,12,,Condo,For Sale,,,Freehold,https://www.lamudi.com.ph/projects/quantum-residences/,Property by Jeann & Ruffa
READY FOR OCCUPANCY CONDO ALONG TAFT AVENUE PASAY CITY QUANTUM RESIDENCES QUANTUM RESIDENCES,Quantum Residences,Quantum Residences,31 sqm,1 sqm,"₱ 33,000","San Isidro, Pasay",1 bedroom,1 bathroom,12,Unfurnished,Condo,For Sale,,,Freehold,https://www.lamudi.com.ph/projects/quantum-residences/,Property by Jeann & Ruffa
Quantum Residences Condo in Pasay City Near De La Salle University Manila,Quantum Residences,Quantum Residences,31 sqm,1 sqm,"₱ 33,000","San Isidro, Pasay",1 bedroom,1 bathroom,12,Unfurnished,Condo,For Sale,,,Freehold,https://www.lamudi.com.ph/projects/quantum-residences/,Property by Jeann & Ruffa
For Sale Condo in Pasay City 2 Bedroom with Parking near Arellano University,Quantum Residences,Quantum Residences,31 sqm,1 sqm,"₱ 33,000","San Isidro, Pasay",1 bedroom,1 bathroom,12,Unfurnished,Condo,For Sale,,,Freehold,https://www.lamudi.com.ph/projects/quantum-residences/,Property by Jeann & Ruffa
For Sale Condo in Pasay Near De La Salle University and Arellano Law School,Quantum Residences,Quantum Residences,31 sqm,1 sqm,"₱ 33,000","San Isidro, Pasay",1 bedroom,1 bathroom,12,Unfurnished,Condo,For Sale,,,Freehold,https://www.lamudi.com.ph/projects/quantum-residences/,Property by Jeann & Ruffa
For Sale Condo in Taft Avenue Pasay City,Quantum Residences,Quantum Residences,31 sqm,1 sqm,"₱ 33,000","San Isidro, Pasay",1 bedroom,1 bathroom,12,,Condo,For Sale,,,Freehold,https://www.lamudi.com.ph/projects/quantum-residences/,Property by Jeann & Ruffa
1 Bedroom Quantum Residences Ready for Occupancy Condo in Taft Avenue,Quantum Residences,Quantum Residences,31 sqm,1 sqm,"₱ 33,000","San Isidro, Pasay",1 bedroom,1 bathroom,12,Unfurnished,Condo,For Sale,,,Freehold,https://www.lamudi.com.ph/projects/quantum-residences/,Property by Jeann & Ruffa
1 Bedroom Ready for Occupancy Condo in Taft Avenue,Quantum Residences,Quantum Residences,31 sqm,1 sqm,"₱ 33,000","San Isidro, Pasay",1 bedroom,1 bathroom,12,Unfurnished,Condo,For Sale,,,Freehold,https://www.lamudi.com.ph/projects/quantum-residences/,Property by Jeann & Ruffa
Ready For Occupancy Condo in Taft Avenue,Quantum Residences,Quantum Residences,31 sqm,1 sqm,"₱ 33,000","San Isidro, Pasay",1 bedroom,1 bathroom,12,Unfurnished,Condo,For Sale,,,Freehold,https://www.lamudi.com.ph/projects/quantum-residences/,Property by Jeann & Ruffa
rfo condo in pasay rent to own ready for occupancy near macapagal roxas blvd pasay,Quantum Residences,Quantum Residences,21 sqm,21 sqm,"₱ 3,600,900","San Isidro, Pasay",,1 bathroom,12,Partly furnished,Condo,For Sale,,,Freehold,https://www.lamudi.com.ph/projects/quantum-residences/,Kristine Joy Pascua
rfo condo in pasay quantum residences near libertad cartimar la salle pasay,Quantum Residences,Quantum Residences,21 sqm,21 sqm,"₱ 3,400,000","San Isidro, Pasay",,1 bathroom,21,Partly furnished,Condo,For Sale,,,Freehold,https://www.lamudi.com.ph/projects/quantum-residences/,Kristine Joy Pascua
1 Bedroom Condo For Sale La Verti Residences Taft Avenue Pasay City,,,31 sqm,31 sqm,"₱ 5,000,000","Pasay, Metro Manila",1 bedroom,1 bathroom,21,Unfurnished,Condo,For Sale,,,,,Obet Guzman Jr.
Condo in Pasay 2 Bedrooms Rent To Own units For Sale,Palm Beach West,Palm Beach West,43 sqm,43 sqm,"₱ 45,000","Pasay, Metro Manila",2 bedrooms,1 bathroom,,Unfurnished,Condo,For Sale,,,,https://www.lamudi.com.ph/projects/palm-beach-west/,Federal Land Condo Projects PH
2 Bedrooms Condo unit Rent To Own For Sale in Bay Area Pasay,Palm Beach West,Palm Beach West,39 sqm,39 sqm,"₱ 38,000","Pasay, Metro Manila",2 bedrooms,1 bathroom,,Unfurnished,Condo,For Sale,2023,,Freehold,https://www.lamudi.com.ph/projects/palm-beach-west/,Federal Land Condo Projects PH
Condo for sale rent to own in Bay Area Pasay,Palm Beach West,Palm Beach West,39 sqm,39 sqm,"₱ 39,000","Pasay, Metro Manila",2 bedrooms,1 bathroom,,Unfurnished,Condo,For Sale,2023,,Freehold,https://www.lamudi.com.ph/projects/palm-beach-west/,Federal Land Condo Projects PH
"1 Bedroom For Sale in Bay Gardens, Pasay City",Bay Garden,Bay Garden,46 sqm,46 sqm,"₱ 8,000,000","Pasay, Metro Manila",1 bedroom,1 bathroom,7,Fully furnished,Condo,For Sale,2003,1,Leasehold,https://www.lamudi.com.ph/projects/41032-73-bc7b47426369-5246-d019ebb3-b4fc-43d4,Infinity Realty
"For Sale In Bay Gardens, Pasay City",Bay Garden,Bay Garden,46 sqm,46 sqm,"₱ 8,000,000","Pasay, Metro Manila",1 bedroom,1 bathroom,7,Partly furnished,Condo,For Sale,,1,Freehold,https://www.lamudi.com.ph/projects/41032-73-bc7b47426369-5246-d019ebb3-b4fc-43d4,Adel Infinity
"For Sale In Bay Gardens, Pasay City",Bay Garden,Bay Garden,46 sqm,46 sqm,"₱ 8,000,000","Pasay, Metro Manila",1 bedroom,1 bathroom,7,Partly furnished,Condo,For Sale,,1,Freehold,https://www.lamudi.com.ph/projects/41032-73-bc7b47426369-5246-d019ebb3-b4fc-43d4,Leonelyn Infinity
"1 Bedroom For Sale In Bay Gardens, Pasay City",Bay Garden,Bay Garden,46 sqm,46 sqm,"₱ 8,000,000","Pasay, Metro Manila",1 bedroom,1 bathroom,7,Partly furnished,Condo,For Sale,,1,Freehold,https://www.lamudi.com.ph/projects/41032-73-bc7b47426369-5246-d019ebb3-b4fc-43d4,Haidee Infinity
