hospital,beds,category,street,city,sec,full_address
"METRO NORTH MEDICAL CENTER AND HOSPITAL, INC.",80,LEVEL 2,"1001 MINDANAO AVE., BRGY. BAHAY TORO,",QUEZON CITY,P,"METRO NORTH MEDICAL CENTER AND HOSPITAL, INC., 1001 MINDANAO AVE., BRGY. BAHAY TORO,, QUEZON CITY"
NATIONAL CHILDREN'S HOSPITAL,250,LEVEL 3,"264 E. RODRIGUEZ SR. BOULEVARD,",QUEZON CITY,G,"NATIONAL CHILDREN'S HOSPITAL, 264 E. RODRIGUEZ SR. BOULEVARD,, QUEZON CITY"
"NATIONAL KIDNEY AND TRANSPLANT
INSTITUTE",315,LEVEL 3,"EAST AVENUE, DILIMAN,",QUEZON CITY,G,"NATIONAL KIDNEY AND TRANSPLANT
INSTITUTE, EAST AVENUE, DILIMAN,, QUEZON CITY"
NOVALICHES DISTRICT HOSPITAL,30,LEVEL 1,"QUIRINO HIGHWAY, SAN BARTOLOME,
NOVALICHES,",QUEZON CITY,G,"NOVALICHES DISTRICT HOSPITAL, QUIRINO HIGHWAY, SAN BARTOLOME,
NOVALICHES,, QUEZON CITY"
"NOVALICHES GENERAL HOSPITAL AND
MEDICAL CENTER, INC.",60,LEVEL 2,"793 QUIRINO HIGHWAY, BRGY.
GULOD, NOVALICHES,",QUEZON CITY,P,"NOVALICHES GENERAL HOSPITAL AND
MEDICAL CENTER, INC., 793 QUIRINO HIGHWAY, BRGY.
GULOD, NOVALICHES,, QUEZON CITY"
"P. GONZALES MEMORIAL HOSPITAL, INC",8,INF/DISP,"582 J.P. RIZAL ST., LAMUAN,
MALANDAY,",MARIKINA CITY,P,"P. GONZALES MEMORIAL HOSPITAL, INC, 582 J.P. RIZAL ST., LAMUAN,
MALANDAY,, MARIKINA CITY"
"PACIFIC GLOBAL MEDICAL CENTER, INC.",100,LEVEL 2,"LOT 2B, MINDANAO AVENUE, BRGY.
TALIPAPA, NOVALICHES,",QUEZON CITY,P,"PACIFIC GLOBAL MEDICAL CENTER, INC., LOT 2B, MINDANAO AVENUE, BRGY.
TALIPAPA, NOVALICHES,, QUEZON CITY"
PASCUAL GENERAL HOSPITAL,12,INF/DISP,"130 M. PASCUAL ST., QUIRINO
HIGHWAY, BAESA,",QUEZON CITY,P,"PASCUAL GENERAL HOSPITAL, 130 M. PASCUAL ST., QUIRINO
HIGHWAY, BAESA,, QUEZON CITY"
PHILIPPINE CHILDREN'S MEDICAL CENTER,200,LEVEL 3,"QUEZON AVENUE CORNER AGHAM ROAD, DILIMAN,",QUEZON CITY,G,"PHILIPPINE CHILDREN'S MEDICAL CENTER, QUEZON AVENUE CORNER AGHAM ROAD, DILIMAN,, QUEZON CITY"
PHILIPPINE HEART CENTER,574,LEVEL 3,"EAST AVENUE, DILIMAN,",QUEZON CITY,G,"PHILIPPINE HEART CENTER, EAST AVENUE, DILIMAN,, QUEZON CITY"
PHILIPPINE ORTHOPEDIC CENTER,700,LEVEL 3,"MA. CLARA ST. COR. BANAWE STS.,",QUEZON CITY,G,"PHILIPPINE ORTHOPEDIC CENTER, MA. CLARA ST. COR. BANAWE STS.,, QUEZON CITY"
PNP GENERAL HOSPITAL,176,LEVEL 2,"CAMP CRAME,",QUEZON CITY,G,"PNP GENERAL HOSPITAL, CAMP CRAME,, QUEZON CITY"
"PROVIDENCE HOSPITAL, INC.",75,LEVEL 2,"1515 QUEZON AVENUE, WEST
TRIANGLE,",QUEZON CITY,P,"PROVIDENCE HOSPITAL, INC., 1515 QUEZON AVENUE, WEST
TRIANGLE,, QUEZON CITY"
QUEZON CITY GENERAL HOSPITAL,250,LEVEL 3,"SEMINARY ROAD, BRGY. BAHAY TORO, PROJECT 8, EDSA",QUEZON CITY,G,"QUEZON CITY GENERAL HOSPITAL, SEMINARY ROAD, BRGY. BAHAY TORO, PROJECT 8, EDSA, QUEZON CITY"
QUIRINO MEMORIAL MEDICAL CENTER,599,LEVEL 3,"KATIPUNAN ROAD, PROJECT 4,",QUEZON CITY,G,"QUIRINO MEMORIAL MEDICAL CENTER, KATIPUNAN ROAD, PROJECT 4,, QUEZON CITY"
"ROSARIO MACLANG BAUTISTA GENERAL
HOSPITAL",107,LEVEL 2,"IBP ROAD, BATASAN HILLS, DISTRICT 2,",QUEZON CITY,G,"ROSARIO MACLANG BAUTISTA GENERAL
HOSPITAL, IBP ROAD, BATASAN HILLS, DISTRICT 2,, QUEZON CITY"
SAN JUAN MEDICAL CENTER,150,LEVEL 2,"N. DOMINGO ST.,",SAN JUAN,G,"SAN JUAN MEDICAL CENTER, N. DOMINGO ST.,, SAN JUAN"
"SAN LORENZO HOSPITAL HEALTH
MANAGEMENT CO., INC.",18,LEVEL 1,"QUIRINO HIGHWAY, BRGY. PASONG
PUTIK, NOVALICHES,",QUEZON CITY,P,"SAN LORENZO HOSPITAL HEALTH
MANAGEMENT CO., INC., QUIRINO HIGHWAY, BRGY. PASONG
PUTIK, NOVALICHES,, QUEZON CITY"
"SDS MEDICAL CENTER, INC.",22,LEVEL 1,"KATIPUNAN RD. COR. PIO DEL PILAR
ST., CONCEPCION 2,",MARIKINA CITY,P,"SDS MEDICAL CENTER, INC., KATIPUNAN RD. COR. PIO DEL PILAR
ST., CONCEPCION 2,, MARIKINA CITY"
"ST. ANTHONY MEDICAL CENTER OF
MARIKINA, INC.",34,LEVEL 2,"32 STA. ANA EXT. COR. BETELNUT, SAN
ROQUE,",MARIKINA CITY,P,"ST. ANTHONY MEDICAL CENTER OF
MARIKINA, INC., 32 STA. ANA EXT. COR. BETELNUT, SAN
ROQUE,, MARIKINA CITY"
ST. LUKE'S MEDICAL CENTER,509,LEVEL 3,"279 E. RODRIGUEZ SR. BLVD.,",QUEZON CITY,P,"ST. LUKE'S MEDICAL CENTER, 279 E. RODRIGUEZ SR. BLVD.,, QUEZON CITY"
ST. VICTORIA HOSPITAL,30,LEVEL 1,"444 J.P. RIZAL ST., BRGY. STO. NIÑO,
DISTRICT 1,",MARIKINA CITY,P,"ST. VICTORIA HOSPITAL, 444 J.P. RIZAL ST., BRGY. STO. NIÑO,
DISTRICT 1,, MARIKINA CITY"
UNITED DOCTORS MEDICAL CENTER,30,LEVEL 2,"6 N. RAMIREZ ST., BRGY. DON
MANUEL,",QUEZON CITY,P,"UNITED DOCTORS MEDICAL CENTER, 6 N. RAMIREZ ST., BRGY. DON
MANUEL,, QUEZON CITY"
"UNIVERSITY OF THE EAST RAMON
MAGSAYSAY MEMORIAL MEDICAL CENTER, INC.",307,LEVEL 3,"AURORA BLVD.,",QUEZON CITY,P,"UNIVERSITY OF THE EAST RAMON
MAGSAYSAY MEMORIAL MEDICAL CENTER, INC., AURORA BLVD.,, QUEZON CITY"
UP HEALTH SERVICE,25,INF/DISP,"J.P. LAUREL ST., U.P. CAMPUS,
DILIMAN,",QUEZON CITY,G,"UP HEALTH SERVICE, J.P. LAUREL ST., U.P. CAMPUS,
DILIMAN,, QUEZON CITY"
"UROLOGY CENTER OF THE PHILIPPINES, INC.",16,LEVEL 1,"62 MAGINOO ST., DILIMAN,",QUEZON CITY,P,"UROLOGY CENTER OF THE PHILIPPINES, INC., 62 MAGINOO ST., DILIMAN,, QUEZON CITY"
VETERANS MEMORIAL MEDICAL CENTER,766,LEVEL 3,"NORTH AVENUE, DILIMAN,",QUEZON CITY,G,"VETERANS MEMORIAL MEDICAL CENTER, NORTH AVENUE, DILIMAN,, QUEZON CITY"
VIAN FAMILY HOSPITAL II,6,INF/DISP,"411 QUIRINO HIGHWAY, TALIPAPA,
NOVALICHES,",QUEZON CITY,P,"VIAN FAMILY HOSPITAL II, 411 QUIRINO HIGHWAY, TALIPAPA,
NOVALICHES,, QUEZON CITY"
VICTORIANO LUNA MEDICAL CENTER,1200,LEVEL 3,"V. LUNA ROAD, PINYAHAN",QUEZON CITY,G,"VICTORIANO LUNA MEDICAL CENTER, V. LUNA ROAD, PINYAHAN, QUEZON CITY"
"VILLAROSA HOSPITAL, INC.",10,INF/DISP,"11 SALALILLA ST., PROJECT 4,",QUEZON CITY,P,"VILLAROSA HOSPITAL, INC., 11 SALALILLA ST., PROJECT 4,, QUEZON CITY"
"VILLON-TANSINSIN HOSPITAL, INC.",20,LEVEL 1,"3 TOYOTA AVE. COR. GUERILLA ST.,
STO. NIÑO,",MARIKINA CITY,P,"VILLON-TANSINSIN HOSPITAL, INC., 3 TOYOTA AVE. COR. GUERILLA ST.,
STO. NIÑO,, MARIKINA CITY"
"WORD OF HOPE GENERAL HOSPITAL
FOUNDATION, INC.",30,LEVEL 1,"23 BUENAMAR ST., NOVALICHES,",QUEZON CITY,P,"WORD OF HOPE GENERAL HOSPITAL
FOUNDATION, INC., 23 BUENAMAR ST., NOVALICHES,, QUEZON CITY"
WORLD CITI MEDICAL CENTER,122,LEVEL 3,"960 AURORA BLVD., BRGY. BAGONG
BUHAY,",QUEZON CITY,P,"WORLD CITI MEDICAL CENTER, 960 AURORA BLVD., BRGY. BAGONG
BUHAY,, QUEZON CITY"
ACEBEDO GENERAL HOSPITAL,16,LEVEL 1,"849 GENERAL LUIS ST., BAGBAGUIN,",CALOOCAN CITY,P,"ACEBEDO GENERAL HOSPITAL, 849 GENERAL LUIS ST., BAGBAGUIN,, CALOOCAN CITY"
"ALLIED CARE EXPERTS (ACE) MEDICAL
CENTER MANDALUYONG, INC.",55,LEVEL 2,"145 HAIG ST., BRGY. DAANG BAKAL,",MANDALUYONG CITY,P,"ALLIED CARE EXPERTS (ACE) MEDICAL
CENTER MANDALUYONG, INC., 145 HAIG ST., BRGY. DAANG BAKAL,, MANDALUYONG CITY"
"ALLIED CARE EXPERTS (ACE) MEDICAL
CENTER VALENZUELA, INC.",82,LEVEL 2,"548 MC ARTHUR HIGHWAY,
MALANDAY,",VALENZUELA CITY,P,"ALLIED CARE EXPERTS (ACE) MEDICAL
CENTER VALENZUELA, INC., 548 MC ARTHUR HIGHWAY,
MALANDAY,, VALENZUELA CITY"
"BERMUDEZ POLYMEDIC HOSPITAL, INC.",20,LEVEL 1,"391 MALARIA ROAD, BRGY. 185, ZONE
16, DISTRICT 1, TALA,",CALOOCAN CITY,P,"BERMUDEZ POLYMEDIC HOSPITAL, INC., 391 MALARIA ROAD, BRGY. 185, ZONE
16, DISTRICT 1, TALA,, CALOOCAN CITY"
CALOOCAN CITY MEDICAL CENTER,82,LEVEL 1,"450 A. MABINI ST.,",CALOOCAN CITY,G,"CALOOCAN CITY MEDICAL CENTER, 450 A. MABINI ST.,, CALOOCAN CITY"
CALOOCAN CITY NORTH MEDICAL CENTER,50,LEVEL 1,"SUSANO ROAD, BRGY. 177, CAMARIN,",CALOOCAN CITY,G,"CALOOCAN CITY NORTH MEDICAL CENTER, SUSANO ROAD, BRGY. 177, CAMARIN,, CALOOCAN CITY"
CAMARIN DOCTORS HOSPITAL,105,LEVEL 2,"NO. 1 CAMARIN ROAD, BRGY. 172,
CAMARIN",CALOOCAN CITY,P,"CAMARIN DOCTORS HOSPITAL, NO. 1 CAMARIN ROAD, BRGY. 172,
CAMARIN, CALOOCAN CITY"
CHINESE GENERAL HOSPITAL & MEDICAL CENTER,592,LEVEL 3,"#286 BLUMENTRITT ST.,","SANTA CRUZ, MANILA",P,"CHINESE GENERAL HOSPITAL & MEDICAL CENTER, #286 BLUMENTRITT ST.,, SANTA CRUZ, MANILA"
CURE AND CARE MATERNITY HOSPITAL OPC,18,LEVEL 1,"1068 HERMOSA ST., MANUGUIT,","TONDO, MANILA",P,"CURE AND CARE MATERNITY HOSPITAL OPC, 1068 HERMOSA ST., MANUGUIT,, TONDO, MANILA"
DE OCAMPO MEMORIAL MEDICAL CENTER,20,LEVEL 1,"2921 NAGTAHAN ST.,","SANTA MESA, MANILA",P,"DE OCAMPO MEMORIAL MEDICAL CENTER, 2921 NAGTAHAN ST.,, SANTA MESA, MANILA"
DR. JOSE FABELLA MEMORIAL HOSPITAL,700,LEVEL 3,"SAN LAZARO COMPOUND, TAYUMAN
ST.","SANTA CRUZ, MANILA",G,"DR. JOSE FABELLA MEMORIAL HOSPITAL, SAN LAZARO COMPOUND, TAYUMAN
ST., SANTA CRUZ, MANILA"
DR. JOSE N. RODRIGUEZ MEMORIAL HOSPITAL AND SANITARIUM,459,LEVEL 3,"ST. JOSEPH AVENUE (DR. UYGUANCO STREET), ADMINISTRATION SITE, TALA,",CALOOCAN CITY,G,"DR. JOSE N. RODRIGUEZ MEMORIAL HOSPITAL AND SANITARIUM, ST. JOSEPH AVENUE (DR. UYGUANCO STREET), ADMINISTRATION SITE, TALA,, CALOOCAN CITY"
"DR. VICTOR R. POTENCIANO MEDICAL
CENTER",170,LEVEL 3,"163 EDSA,",MANDALUYONG CITY,P,"DR. VICTOR R. POTENCIANO MEDICAL
CENTER, 163 EDSA,, MANDALUYONG CITY"
"FATIMA UNIVERSITY MEDICAL CENTER
CORPORATION",150,LEVEL 3,"120 MC ARTHUR HIGHWAY, MARULAS",VALENZUELA CITY,P,"FATIMA UNIVERSITY MEDICAL CENTER
CORPORATION, 120 MC ARTHUR HIGHWAY, MARULAS, VALENZUELA CITY"
GAT ANDRES BONIFACIO MEDICAL CENTER,150,LEVEL 1,"8001 DELPAN ST.,","TONDO, MANILA",G,"GAT ANDRES BONIFACIO MEDICAL CENTER, 8001 DELPAN ST.,, TONDO, MANILA"
"HOSPITAL OF THE INFANT JESUS MEDICAL
CENTER",140,LEVEL 3,"1556 LAON LAAN ROAD,","SAMPALOC, MANILA",P,"HOSPITAL OF THE INFANT JESUS MEDICAL
CENTER, 1556 LAON LAAN ROAD,, SAMPALOC, MANILA"
JOSE R. REYES MEMORIAL MEDICAL CENTER,450,LEVEL 3,"SAN LAZARO COMPOUD, RIZAL
AVENUE,","SANTA CRUZ, MANILA",G,"JOSE R. REYES MEMORIAL MEDICAL CENTER, SAN LAZARO COMPOUD, RIZAL
AVENUE,, SANTA CRUZ, MANILA"
"JUSTICE JOSE ABAD SANTOS GENERAL
HOSPITAL",150,LEVEL 1,"NUMANCIA ST.,","BINONDO, MANILA",G,"JUSTICE JOSE ABAD SANTOS GENERAL
HOSPITAL, NUMANCIA ST.,, BINONDO, MANILA"
"LADY OF LOURDES HOSPITAL & COLLEGES OF CAYBIGA, INC.",12,INF/DISP,"15 GEN. LUIS ST., CAYBIGA,",CALOOCAN CITY,P,"LADY OF LOURDES HOSPITAL & COLLEGES OF CAYBIGA, INC., 15 GEN. LUIS ST., CAYBIGA,, CALOOCAN CITY"
"MALABON HOSPITAL AND MEDICAL CENTER,
INC.",42,LEVEL 2,"264 GOV. PASCUAL, BRGY. CATMON,",MALABON,P,"MALABON HOSPITAL AND MEDICAL CENTER,
INC., 264 GOV. PASCUAL, BRGY. CATMON,, MALABON"
MANDALUYONG CITY MEDICAL CENTER,200,LEVEL 2,"C3 ROAD F. MARTINEZ AVE. ADDITION
HILLS",MANDALUYONG CITY,G,"MANDALUYONG CITY MEDICAL CENTER, C3 ROAD F. MARTINEZ AVE. ADDITION
HILLS, MANDALUYONG CITY"
"MANILA CENTRAL UNIVERSITY-DR. FILEMON
D. TANCHOCO, SR. MEDICAL FOUNDATION, INC.",81,LEVEL 3,"EDSA,",CALOOCAN CITY,P,"MANILA CENTRAL UNIVERSITY-DR. FILEMON
D. TANCHOCO, SR. MEDICAL FOUNDATION, INC., EDSA,, CALOOCAN CITY"
MANILA DOCTORS HOSPITAL,300,LEVEL 3,"667 UNITED NATIONS AVE.,","ERMITA, MANILA",P,"MANILA DOCTORS HOSPITAL, 667 UNITED NATIONS AVE.,, ERMITA, MANILA"
"MARKVIM HOSPITAL, INC.",8,INF/DISP,"B8 L49 DAHLIA ST., ALMAR SUBD.,
CAMARIN,",CALOOCAN CITY,P,"MARKVIM HOSPITAL, INC., B8 L49 DAHLIA ST., ALMAR SUBD.,
CAMARIN,, CALOOCAN CITY"
"MARTINEZ MEMORIAL HOSPITAL, INC.",12,LEVEL 1,"198 A. MABINI ST., MAYPAJO,",CALOOCAN CITY,P,"MARTINEZ MEMORIAL HOSPITAL, INC., 198 A. MABINI ST., MAYPAJO,, CALOOCAN CITY"
"MARY CHILES GENERAL HOSPITAL, INC.",100,LEVEL 3,"667 GASTAMBIDE ST.,","SAMPALOC, MANILA",P,"MARY CHILES GENERAL HOSPITAL, INC., 667 GASTAMBIDE ST.,, SAMPALOC, MANILA"
"MARY JOHNSTON HOSPITAL, INC.",120,LEVEL 3,"1221 JUAN NOLASCO ST.,","TONDO, MANILA",P,"MARY JOHNSTON HOSPITAL, INC., 1221 JUAN NOLASCO ST.,, TONDO, MANILA"
"MEDICAL CENTER MANILA, INC.",200,LEVEL 3,"850 UNITED NATIONS ST.,","ERMITA, MANILA",P,"MEDICAL CENTER MANILA, INC., 850 UNITED NATIONS ST.,, ERMITA, MANILA"
METROPOLITAN MEDICAL CENTER,295,LEVEL 3,"1357 MASANGKAY ST.,","SANTA CRUZ, MANILA",P,"METROPOLITAN MEDICAL CENTER, 1357 MASANGKAY ST.,, SANTA CRUZ, MANILA"
NATIONAL CENTER FOR MENTAL HEALTH,4200,LEVEL 3,"9 DE FEBRERO ST.,",MANDALUYONG CITY,G,"NATIONAL CENTER FOR MENTAL HEALTH, 9 DE FEBRERO ST.,, MANDALUYONG CITY"
NAVOTAS CITY HOSPITAL,50,LEVEL 1,"M. NAVAL ST., BRGY. SAN JOSE,",NAVOTAS,G,"NAVOTAS CITY HOSPITAL, M. NAVAL ST., BRGY. SAN JOSE,, NAVOTAS"
NODADO GENERAL HOSPITAL,40,LEVEL 1,"CAPT. SAMANO ST., AREA A CAMARIN,
BRGY. 175,",CALOOCAN CITY,P,"NODADO GENERAL HOSPITAL, CAPT. SAMANO ST., AREA A CAMARIN,
BRGY. 175,, CALOOCAN CITY"
"NORTH CALOOCAN DOCTORS HOSPITAL, INC.",29,LEVEL 1,"L31 B10 QUIRINO HIGHWAY, BANKERS
VILLAGE 2,",CALOOCAN CITY,P,"NORTH CALOOCAN DOCTORS HOSPITAL, INC., L31 B10 QUIRINO HIGHWAY, BANKERS
VILLAGE 2,, CALOOCAN CITY"
OSPITAL NG MALABON,34,LEVEL 1,"F. SEVILLA BOULEVARD, TAÑONG,",MALABON,G,"OSPITAL NG MALABON, F. SEVILLA BOULEVARD, TAÑONG,, MALABON"
OSPITAL NG MAYNILA MEDICAL CENTER,300,LEVEL 3,"PRES. QUIRINO AVE. COR. ROXAS BLVD.,","MALATE, MANILA",G,"OSPITAL NG MAYNILA MEDICAL CENTER, PRES. QUIRINO AVE. COR. ROXAS BLVD.,, MALATE, MANILA"
OSPITAL NG SAMPALOC,50,LEVEL 1,"677 GERONIMO ST. COR. CAROLA ST.,","SAMPALOC, MANILA",G,"OSPITAL NG SAMPALOC, 677 GERONIMO ST. COR. CAROLA ST.,, SAMPALOC, MANILA"
OSPITAL NG TONDO,50,LEVEL 1,"BRGY. 215, JOSE ABAD SANTOS AVE.,","TONDO, MANILA",G,"OSPITAL NG TONDO, BRGY. 215, JOSE ABAD SANTOS AVE.,, TONDO, MANILA"
"OUR LADY OF GRACE HOSPITAL, INC.",28,LEVEL 1,"8TH AVENUE COR. F. ROXAS ST., WEST
GRACE PARK,",CALOOCAN CITY,P,"OUR LADY OF GRACE HOSPITAL, INC., 8TH AVENUE COR. F. ROXAS ST., WEST
GRACE PARK,, CALOOCAN CITY"
OUR LADY OF LOURDES HOSPITAL,230,LEVEL 3,"46 P. SANCHEZ ST.,","SANTA MESA, MANILA",P,"OUR LADY OF LOURDES HOSPITAL, 46 P. SANCHEZ ST.,, SANTA MESA, MANILA"
"PERPETUAL SUCCOR HOSPITAL & MATERNITY, INC.",65,LEVEL 1,"836 F. CAYCO ST.,","SAMPALOC, MANILA",P,"PERPETUAL SUCCOR HOSPITAL & MATERNITY, INC., 836 F. CAYCO ST.,, SAMPALOC, MANILA"
"PRESIDENTIAL SECURITY COMMAND STATION
HOSPITAL",20,INF/DISP,"1939 MENDOZA GUANZON, MALACAÑANG PARK,","ERMITA, MANILA",G,"PRESIDENTIAL SECURITY COMMAND STATION
HOSPITAL, 1939 MENDOZA GUANZON, MALACAÑANG PARK,, ERMITA, MANILA"
SAN LAZARO HOSPITAL,363,LEVEL 3,"QUIRICADA ST.,","SANTA CRUZ, MANILA",G,"SAN LAZARO HOSPITAL, QUIRICADA ST.,, SANTA CRUZ, MANILA"
