REGION, INSTITUTION NAME, INSTITUTION TYPE, PROVINCE, MUNICIPALITY/CITY, WEBSITE ADDRESS, FAX/TELEPHONE NO.
13 - Nat. Capital Region,Jose Rizal University,Private,Metro Manila,City of Mandaluyong,http://www.jru.edu,(632) 5318031 ; (632) 5321418
13 - Nat. Capital Region,University of Caloocan City,LUC,Metro Manila,City of Caloocan,ucc-caloocan.edu.ph,5-310-68-55 ;
13 - Nat. Capital Region,La Consolacion College-Manila,Private,Metro Manila,City of Manila,http://www.lccm.edu.ph,(02) 8736-0235 ; (02) 8736-7602
13 - Nat. Capital Region,La Consolacion College-Caloocan,Private,Metro Manila,City of Caloocan,lccc.edu.ph,(02) 8287-9703 ;
13 - Nat. Capital Region,Lacson College,Private,Metro Manila,Pasay City,registrar@lacsoncollege.edu.ph,02-8251-49-88 AND 02-8241-57-88 ; 02-8251-49-88 AND 02-8241-57-88
13 - Nat. Capital Region,Centro Escolar Las Piñas,Private,Metro Manila,City of Las Piñas,http://www.celp.edu.ph,(02) 88017211-14 ; (02) 88017215
13 - Nat. Capital Region,Regis Marie College,Private,Metro Manila,City of Parañaque,http://www.regismariecollege.com,(02) 8671-0199 ;
13 - Nat. Capital Region,Lyceum of the Philippines University,Private,Metro Manila,City of Manila,http://www.lpu.edu.ph,(02) 5278253-56 ;
13 - Nat. Capital Region,City of Malabon University,LUC,Metro Manila,City of Malabon,https://cityofmalabonuniversity.edu.ph,02-8376-0064 ;
13 - Nat. Capital Region,Manila Central University,Private,Metro Manila,City of Caloocan,http://www.mcu.edu.ph,(02) 8364-1071 to 78 ;
13 - Nat. Capital Region,Manila Tytana Colleges,Private,Metro Manila,Pasay City,http://www.mtc.edu.ph,02 8859-0814 ; 02 8859-0855
13 - Nat. Capital Region,Manila Law College,Private,Metro Manila,,,
13 - Nat. Capital Region,Manila Adventist College,Private,Metro Manila,Pasay City,http://www.mac.edu.ph,(02)85259191 ; (02)85243256
13 - Nat. Capital Region,Manila Theological College,Private,Metro Manila,City of Manila,http://www.mtcslshs.edu.ph,8714-1583 ; 8713-2727
13 - Nat. Capital Region,Manuel L. Quezon University,Private,Metro Manila,Quezon City,http://www.mlqu.ph,(02) 364-02-49 ; (02) 364-02-24
13 - Nat. Capital Region,Mapua University-Manila,Private,Metro Manila,City of Manila,http://www.mapua.edu.ph,(632) 8247-5000 ; (632) 8527-3680
13 - Nat. Capital Region,Mapua University-Makati,Private,Metro Manila,City of Makati,http://www.mapua.edu.ph,(632) 8247-5000 and (632) 8247-5011 ; (632) 8891-0843
13 - Nat. Capital Region,Marikina Polytechnic College,SUC,Metro Manila,City of Marikina,mpc.edu.ph,(02) 8531-8199 ; (02) 8531-8199
13 - Nat. Capital Region,Martinez Memorial College,Private,Metro Manila,City of Caloocan,,2888861 to 63 ;
13 - Nat. Capital Region,Mary Chiles College,Private,Metro Manila,City of Manila,http://www.marychilescollege.edu.ph,(02)8735-5341 loc 281 / 8711-4233 ; (02)8735-5341 loc 209
13 - Nat. Capital Region,CICM Maryhill School of Theology,Private,Metro Manila,Quezon City,,(63) (2) 87212695 ; (63) (2) 87224566
13 - Nat. Capital Region,Metro Business College-Pasay,Private,Metro Manila,Pasay City,,(02) 8887-6031 ;
13 - Nat. Capital Region,Metro Manila College,Private,Metro Manila,Quezon City,,02 418-0084 ; 02 419-1482
13 - Nat. Capital Region,Metropolitan Medical Center College of Arts Science and Technology,Private,Metro Manila,City of Manila,http://www.metro.edu.ph,(02) 253-8769 / (02) 254-1111 loc. 8218 ; (02) 255-2737
13 - Nat. Capital Region,Miriam College,Private,Metro Manila,Quezon City,http://www.mc.edu.ph,(02)8930-6272 ;
13 - Nat. Capital Region,Mother of Life Center,Private,Metro Manila,Quezon City,https://motheroflifecenter.edu.ph/,028-939-3433 ; 028-939-3433
13 - Nat. Capital Region,Pamantasan ng Lungsod ng Muntinlupa,LUC,Metro Manila,City of Muntinlupa,http://www.plmun.edu.ph,02-88933368 ;
13 - Nat. Capital Region,NAMEI Polytechnic Institute,Private,Metro Manila,City of Manila,http://www.sti.edu,8635-5954 ; 8635-5954
13 - Nat. Capital Region,National College of Business and Arts-Cubao,Private,Metro Manila,Quezon City,http://www.ncba.edu.ph,(02)8913-0258 ; (02)8913-8787 loc. 162
13 - Nat. Capital Region,National College of Business and Arts-Fairview,Private,Metro Manila,Quezon City,http://www.registrar.fairview@ncba.edu.ph,(02) 427-02-90/427-02-89 ; (02) 427-02-90
13 - Nat. Capital Region,The National Teachers College,Private,Metro Manila,City of Manila,http://www.ntc.edu.ph,8-734-56-01 to 05 ;
13 - Nat. Capital Region,National University,Private,Metro Manila,City of Manila,http://www.national-u.edu.ph,(02) 8712-1900 ;
13 - Nat. Capital Region,Navotas Polytechnic College,LUC,Metro Manila,City of Navotas,,(02) 8571-63-23 ;
13 - Nat. Capital Region,New Era University,Private,Metro Manila,Quezon City,http://www.neu.edu.ph,(02) 8981-4221 to 4231 ; (02) 8981-4240
13 - Nat. Capital Region,Olivarez College,Private,Metro Manila,City of Parañaque,http://www.olivarezcollege.edu.ph,028290704 OR 028260750 LOCAL 107 ; 02825-8712
13 - Nat. Capital Region,Our Lady of Fatima University-Valenzuela,Private,Metro Manila,City of Valenzuela,http://www.fatima.edu.ph,
13 - Nat. Capital Region,Our Lady of Lourdes College,Private,Metro Manila,City of Valenzuela,http://www.ollc.edu.ph,01-(02) 89220077 ;
13 - Nat. Capital Region,Our Lady of the Angels Seminary,Private,Metro Manila,Quezon City,,02-423- 52-44 ; 936-4083 loc 215
13 - Nat. Capital Region,PACE Graduate School of Christian Education,Private,Metro Manila,Quezon City,http://www.pgsce.wordpress.com,(02) 8398 - 2350 ; (02) 8398 - 2350
13 - Nat. Capital Region,Pamantasan ng Lungsod ng Maynila,LUC,Metro Manila,City of Manila,http://www.plm.edu.ph,(02)8528-4580 ;
13 - Nat. Capital Region,City University of Pasay,LUC,Metro Manila,Pasay City,,28467554 ; 25511342
13 - Nat. Capital Region,University of Makati,LUC,Metro Manila,City of Taguig,http://www.umak.edu.ph,(02) 882-06-75 ; (02) 883-18-67
13 - Nat. Capital Region,Pasig Catholic College,Private,Metro Manila,City of Pasig,http://www.pasigcatholic.edu.ph,(02) 8642-7967 (02) 8642-7481 ; (02) 8641-3134 (02) 8642-7481
13 - Nat. Capital Region,PATTS College of Aeronautics,Private,Metro Manila,City of Parañaque,http://www.patts.edu.ph,632-8258823 ; 632-8258824
13 - Nat. Capital Region,Perpetual Help College of Manila,Private,Metro Manila,City of Manila,sdo.manila@uphsl.edu.ph,(02) 8731-1550 ; (02) 8731-1550
13 - Nat. Capital Region,University of Perpetual Help System Dalta,Private,Metro Manila,City of Las Piñas,http://www.perpetualdalta.edu.ph,(02)88710639 to 46 ; (02)88710639 loc 152
13 - Nat. Capital Region,Philippine Dominican Center of Institutional Studies,Private,Metro Manila,Quezon City,,632-83544494 ; 632-83544611
13 - Nat. Capital Region,Philippine Christian University,Private,Metro Manila,City of Manila,http://www.pcu.edu.ph,(02)85232162 ; (02)85232162
13 - Nat. Capital Region,Philippine College of Criminology,Private,Metro Manila,City of Manila,http://www.pccr.edu.ph,(02) 733-1608 ;
13 - Nat. Capital Region,Philippine College of Health Sciences,Private,Metro Manila,City of Manila,http://www.pchsmanila.edu.ph,8241-6386/8255-5336 ;
13 - Nat. Capital Region,St. Louis College-Valenzuela,Private,Metro Manila,City of Valenzuela,http://www.slcv.edu.ph,(02) 8292-0481 ; (02) 8292-3137
13 - Nat. Capital Region,Philippine Law School,Private,Metro Manila,,,
13 - Nat. Capital Region,Philippine Merchant Marine School-Manila,Private,Metro Manila,City of Manila,pmms-online.com,(+632) 8711-5290-94 ; (+632) 8742-33-75
13 - Nat. Capital Region,Philippine Merchant Marine School-Las Piñas,Private,Metro Manila,City of Las Piñas,http://www.pmms_online.com,(02) 8877-3300 ; (02) 8805-0243
13 - Nat. Capital Region,Philippine Normal University-Main,SUC,Metro Manila,City of Manila,http://www.pnu.edu.ph,(+63 2) 5317 1768 loc. 715-718 ; (+63 2) 5317 1768 loc. 718
13 - Nat. Capital Region,Philippine School of Business Administration-Quezon City,Private,Metro Manila,Quezon City,psba.edu,02-8913-9654 ; 02 913-9659
13 - Nat. Capital Region,Philippine School of Business Administration-Manila,Private,Metro Manila,City of Manila,http://www.psba.edu,02-53104435 ; 02-87351384
13 - Nat. Capital Region,Philippine State College of Aeronautics-Main,SUC,Metro Manila,Pasay City,http://www.philsca.edu.ph/,
13 - Nat. Capital Region,The Philippine Women's University-Manila,Private,Metro Manila,City of Manila,http://www.pwu.edu.ph,(02) 85268421 ; (02) 85266935
13 - Nat. Capital Region,PHILSIN College Foundation,Private,Metro Manila,City of Manila,,8715 00 18 / 8715 22 38 ; 8715 00 18
13 - Nat. Capital Region,PMI Colleges-Manila,Private,Metro Manila,City of Manila,,02-8 242 45 40 ;
13 - Nat. Capital Region,PMI Colleges-Quezon City,Private,Metro Manila,Quezon City,,91700000000 ;
13 - Nat. Capital Region,Polytechnic University of the Philippines,SUC,Metro Manila,City of Manila,http://www.pup.edu.ph,(02) 8716-40-34; 8716-26-44 ; (02) 8716-40-34; 8716-26-44
13 - Nat. Capital Region,Polytechnic University of the Philippines-San Juan Campus,SUC,Metro Manila,City of San Juan,http://www.pup.edu.ph,(02) 632-7738 (02) 724-6322 (02) 497-4459 (02) 579-4792 ;
13 - Nat. Capital Region,Polytechnic University of the Philippines-Parañaque Campus,SUC,Metro Manila,City of Parañaque,http://www.pup.edu.ph,(02) 553-8623 ; (02) 478-6917
13 - Nat. Capital Region,Polytechnic University of the Philippines-Taguig,SUC,Metro Manila,City of Taguig,http://www.pup.edu.ph,(02) 837-5858; (02) 837-5859; (02) 837-5860 ; (02) 837-5859
13 - Nat. Capital Region,World Citi Colleges-Quezon City,Private,Metro Manila,Quezon City,worldciti.edu.ph,(02) 89138380 ;
13 - Nat. Capital Region,Makati Medical Center College,Private,Metro Manila,City of Makati,,02-8705-1467 ;
13 - Nat. Capital Region,Republican College,Private,Metro Manila,Quezon City,https://sjc.phinma.edu.ph/,02-9121286 ; 02-9125579
13 - Nat. Capital Region,Rizal Technological University,SUC,Metro Manila,City of Mandaluyong,http://www.rtu.edu.ph,(02) 8534 8267 ; (02) 8534 9710
13 - Nat. Capital Region,Roosevelt College-Marikina,Private,Metro Manila,City of Marikina,http://www.feuroosevelt.edu.ph,(02) 8941-3465 ;
13 - Nat. Capital Region,Saint Francis of Assisi College,Private,Metro Manila,City of Las Piñas,http://www.stfrancis.edu.ph,(02) 800-4507 ; (02) 805-8014
13 - Nat. Capital Region,St. Joseph's College of Quezon City,Private,Metro Manila,Quezon City,http://www.sjcqc.edu.ph,70041979 ;
13 - Nat. Capital Region,St. Jude College,Private,Metro Manila,City of Manila,https://sjc.phinma.edu.ph/,
13 - Nat. Capital Region,St. Paul University-Manila,Private,Metro Manila,City of Manila,http://www.spumanila.edu.ph,(02)85245687 ;
13 - Nat. Capital Region,St. Paul University-Quezon City,Private,Metro Manila,Quezon City,http://www.spuqc.edu.ph,(02)726-7986 (02)726-7987. (02)726-7988 ; (02)726-0552
13 - Nat. Capital Region,Saint Rita College-Manila,Private,Metro Manila,City of Manila,http://www.srcm.edu.ph,(02)-8-6424-058 ;
13 - Nat. Capital Region,St. Scholastica's College,Private,Metro Manila,City of Manila,http://www.ssc.edu.ph,(632) 8567-7686 ;
13 - Nat. Capital Region,Samson College of Science and Technology-Quezon City,Private,Metro Manila,Quezon City,http://www.samson.edu.ph,(02) 8721-41-29 ; (02) 8723-16-48
13 - Nat. Capital Region,San Beda University,Private,Metro Manila,City of Manila,http://www.sanbeda.edu.ph,8-726-2332 ; (0063) 2-8735-5994
13 - Nat. Capital Region,San Carlos Seminary,Private,Metro Manila,City of Makati,http://www.scs.edu.ph,289000000 ; 289000000
13 - Nat. Capital Region,San Juan de Dios Educational Foundation,Private,Metro Manila,Pasay City,https://sjdefi.edu.ph/,(02) 551-2763 ; (02) 551-9214
13 - Nat. Capital Region,San Sebastian College-Recoletos,Private,Metro Manila,City of Manila,http://www.sscrmnl.edu.ph,(02) 87348931 to 39 ; (02) 87348918
13 - Nat. Capital Region,Santa Isabel College of Manila,Private,Metro Manila,City of Manila,http://www.santaisabel.edu.ph,(02) 525-94-16 to 19 ; (02) 524-73-40
13 - Nat. Capital Region,Siena College,Private,Metro Manila,Quezon City,scqc.edu.ph,(02)77449431 ;
13 - Nat. Capital Region,Southeastern College,Private,Metro Manila,Pasay City,http://www.southeastern.com.ph,02-8831-8484 ; 02-8831-7532
13 - Nat. Capital Region,St. Luke's College of Medicine-William H. Quasha Memorial,Private,Metro Manila,Quezon City,https://slmc-cm.edu.ph,02-87230101 loc. 3808 ; 02-87277610
13 - Nat. Capital Region,Stella Maris College,Private,Metro Manila,Quezon City,,(02) 8912-4085 ; (02)8912-4210
13 - Nat. Capital Region,Systems Plus Computer College-Quezon City,Private,Metro Manila,Quezon City,,86544236 ;
13 - Nat. Capital Region,Technological Institute of the Philippines-Manila,Private,Metro Manila,City of Manila,http://www.tip.edu.ph,(02) 736-42-08 (02) 733-9117 ; (02) 913-8084 (02) 736-4208
13 - Nat. Capital Region,Technological Institute of the Philippines-Quezon City,Private,Metro Manila,Quezon City,http://www.tip.edu.ph,02-8912-1539 ; 02-8912-1539
13 - Nat. Capital Region,Technological University of the Philippines-Manila,SUC,Metro Manila,City of Manila,http://www.tup.edu.ph,632-5301-3001 ; 632-8521-4063
13 - Nat. Capital Region,Trinity University of Asia,Private,Metro Manila,Quezon City,http://www.tua.edu.ph,(02) 87022882 ;
13 - Nat. Capital Region,Technological University of the Philippines-Taguig,SUC,Metro Manila,City of Taguig,https://tup.edu.ph/,(02) 5301-3001 ; (02) 8523-2293
13 - Nat. Capital Region,Unciano Colleges and General Hospital,Private,Metro Manila,City of Manila,,(02)-8 714-39-77 ; Mobil No. 09171272179
13 - Nat. Capital Region,Southeast Asian College,Private,Metro Manila,Quezon City,http://www.saci.edu.ph,
13 - Nat. Capital Region,University of the East-Ramon Magsaysay Memorial Medical Center,Private,Metro Manila,Quezon City,http://www.uerm.edu.ph,(632) 8713-33-15/8715 0861 ; (632) 8713-33-15
13 - Nat. Capital Region,The University of Manila,Private,Metro Manila,City of Manila,http://www.univman.ed.ph,(02) 735-50-98; 735-50-85;735-50-84 ; 735-50-94
13 - Nat. Capital Region,University of Santo Tomas,Private,Metro Manila,City of Manila,http://www.ust.edu.ph,(63-2) 7315709 ; (63-2) 7861734
13 - Nat. Capital Region,University of the East-Manila,Private,Metro Manila,City of Manila,http://www.ue.edu.ph,(02)-87355471 ; (02)-87356972
13 - Nat. Capital Region,University of the East-Caloocan,Private,Metro Manila,City of Caloocan,http://www.ue.edu.ph,(02) 8364-2396; (02) 8361-1398 ; (02) 8364-2659
13 - Nat. Capital Region,University of the Philippines-Diliman,SUC,Metro Manila,Quezon City,https://upd.edu.ph/,63289818500 local 2556 ;
13 - Nat. Capital Region,University of the Philippines-Manila,SUC,Metro Manila,City of Manila,http://www.upm.edu.ph/,(632) 8814-1203 to 205 ;
13 - Nat. Capital Region,Angelicum College,Private,Metro Manila,City of Manila,http://www.ustangelicum.edu.ph/,02 87121745 ; 02 87121745
13 - Nat. Capital Region,Universidad de Manila,LUC,Metro Manila,City of Manila,,02-83366582 ; 02-83366564
13 - Nat. Capital Region,Don Bosco Center of Studies,Private,Metro Manila,City of Parañaque,http://www.dbcs.edu.ph,(02)88239483 88233290 88246787 local 101 or 109 ;
13 - Nat. Capital Region,IETI College-Alabang,Private,Metro Manila,City of Muntinlupa,http://www.ieti.edu.ph,(02) 8772-52-90 or '(02) 8850-09-37 ; (02) 8850-09-37
13 - Nat. Capital Region,Our Lady of Perpetual 2cor College,Private,Metro Manila,City of Marikina,http://www.olopsc.edu.ph,(02) 8997-2556 ;
13 - Nat. Capital Region,San Beda College-Alabang,Private,Metro Manila,City of Muntinlupa,http://www.sanbeda-alabang.edu.ph,(02)236-7222 ; 842-3511
13 - Nat. Capital Region,St. Dominic Savio College,Private,Metro Manila,City of Caloocan,http://www.sdsc.edu.ph,(02) 961-5497 / +639566677363 ; (02) 961-5499
13 - Nat. Capital Region,St. John Technological College of the Philippines,Private,Metro Manila,Quezon City,http://www.sjtcp.edu.ph,(8) 937-9956 ; (8) 275-8238
13 - Nat. Capital Region,STI College-Alabang,Private,Metro Manila,City of Muntinlupa,http://www.stialabang.net,(02) 842.0947 / (02) 842.0979 ; (02) 807.7025
13 - Nat. Capital Region,STI College-Cubao,Private,Metro Manila,Quezon City,http://www.sti.edu,02-8421-10-29 local 104/107 ; 02-8421-10-29 local 110
13 - Nat. Capital Region,STI College-Shaw,Private,Metro Manila,City of Manila,stamesa.sti.edu,8635-5954 ; 8635-5954
13 - Nat. Capital Region,STI College-Global City,Private,Metro Manila,City of Taguig,http://www.sti.edu,(02) 551-4984 ; (02) 551-4984 local 5100
13 - Nat. Capital Region,STI College-Caloocan,Private,Metro Manila,City of Caloocan,http://www.sti.edu,(02)8294-4001/8294-4002 ; (02)8294-4001/8294/4002 Loc. 107
13 - Nat. Capital Region,STI College-Muñoz EDSA,Private,Metro Manila,Quezon City,,289000000 ;
13 - Nat. Capital Region,STI College-Novaliches,Private,Metro Manila,Quezon City,http://www.sti.edu,(02) 8930-0050 ; (02) 8930-0050
13 - Nat. Capital Region,STI College-Fairview,Private,Metro Manila,Quezon City,http://www.sti.edu.ph,02-8-5739962 / 02-8-8759249 ;
13 - Nat. Capital Region,STI College Pasay-EDSA,Private,Metro Manila,City of Manila,http://www.sti.edu,8722-5698 ;
13 - Nat. Capital Region,Philippine Rehabilitation Institute Foundation,Private,Metro Manila,Quezon City,http://www.pricolleges.com,(632) 7358-6596 ;
13 - Nat. Capital Region,Immaculada Concepcion College,Private,Metro Manila,City of Caloocan,http://www.immaculada.edu.ph,(02) 8584-5150 ; (02) 8937-5428
13 - Nat. Capital Region,West Bay College,Private,Metro Manila,City of Muntinlupa,http://www.wbc.edu.ph,8-850-2958 ; 850-3027
13 - Nat. Capital Region,System Plus Computer College-Caloocan,Private,Metro Manila,City of Caloocan,http://www.spcc.edu.ph,(632)-8990-3090 ;
13 - Nat. Capital Region,Saint Bernadette College of Alabang,Private,Metro Manila,City of Muntinlupa,http://www.sbca.edu.ph,(02) 8842-2139 / 8850-5709 / 0917-6367332 ;
13 - Nat. Capital Region,Children of Mary Immaculate College,Private,Metro Manila,City of Caloocan,,
13 - Nat. Capital Region,Informatics College-Manila,Private,Metro Manila,City of Manila,http://www.informatics.edu.ph,(02)-488-33-58 ; (02)-488-30-33
13 - Nat. Capital Region,The Fisher Valley College,Private,Metro Manila,City of Taguig,http://www.acocities.com/tfvccollegedepartment,(02) 837.4261 (02) 293.1903 ; (02) 837.4261
13 - Nat. Capital Region,La Consolacion College-Novaliches,Private,Metro Manila,City of Caloocan,,(02) 82871013 ; (02) 82871013
13 - Nat. Capital Region,National Defense College,OGS,Metro Manila,Quezon City,http://www.ndcp.edu.ph,63 2 8841890 local 8001 ;
13 - Nat. Capital Region,Philippine Public Safety College,OGS,Metro Manila,,,
13 - Nat. Capital Region,ABE International College of Business and Economics-Manila,Private,Metro Manila,City of Manila,,
13 - Nat. Capital Region,AMA Computer College-Caloocan,Private,Metro Manila,City of Caloocan,amaes.edu.ph,
13 - Nat. Capital Region,AMA Computer College-Fairview,Private,Metro Manila,Quezon City,http://www.amaes.edu.ph,(02) 921-57-81 ; (02) 921-11-15
13 - Nat. Capital Region,AMA Computer College-Parañaque,Private,Metro Manila,City of Parañaque,http://www.amaes.edu.ph,9160000000 ;
