hospital,beds,category,street,city,sec,full_address,cleaned_query,fallback_query,lat,lon,geocode_provider,formatted_address,quality_note
DE LOS SANTOS MEDICAL CENTER,150,LEVEL 3,"201 E. RODRIGUEZ SR. BLVD.,",QUEZON CITY,P,"DE LOS SANTOS MEDICAL CENTER, 201 E. RODRIGUEZ SR. BLVD.,, QUEZON CITY",de los santos medical center 201 e. rodriguez sr. boulevard. quezon city metro manila philippines,"DE LOS SANTOS MEDICAL CENTER, 201 E. RODRIGUEZ SR. BLVD.,, QUEZON CITY, Metro Manila, Philippines",,,,,
"DILIMAN DOCTORS HOSPITAL, INC.",130,LEVEL 2,"251 COMMONWEALTH AVENUE,
MATANDANG BALARA,",QUEZON CITY,P,"DILIMAN DOCTORS HOSPITAL, INC., 251 COMMONWEALTH AVENUE,
MATANDANG BALARA,, QUEZON CITY",diliman doctors hospital inc. 251 commonwealth avenue matandang balara quezon city metro manila philippines,"DILIMAN DOCTORS HOSPITAL, INC., 251 COMMONWEALTH AVENUE,
MATANDANG BALARA,, QUEZON CITY, Metro Manila, Philippines",,,,,
DR. FE DEL MUNDO MEDICAL CENTER,25,LEVEL 2,"11 BANAWE ST., BRGY. DOÑA JOSEFA,",QUEZON CITY,P,"DR. FE DEL MUNDO MEDICAL CENTER, 11 BANAWE ST., BRGY. DOÑA JOSEFA,, QUEZON CITY",dr. fe del mundo medical center 11 banawe street. barangay. dona josefa quezon city metro manila philippines,"DR. FE DEL MUNDO MEDICAL CENTER, 11 BANAWE ST., BRGY. DOÑA JOSEFA,, QUEZON CITY, Metro Manila, Philippines",,,,,
DR. JESUS C. DELGADO MEMORIAL HOSPITAL,65,LEVEL 2,"7 KAMUNING ROAD,",QUEZON CITY,P,"DR. JESUS C. DELGADO MEMORIAL HOSPITAL, 7 KAMUNING ROAD,, QUEZON CITY",dr. jesus c. delgado memorial hospital 7 kamuning road quezon city metro manila philippines,,14.6278031,121.0347032,google,"7 Kamuning Rd, Diliman, Quezon City, Metro Manila, Philippines",CLEANED|ROOFTOP
"DR. MONTANO G. RAMOS GENERAL
HOSPITAL CORPORATION",25,LEVEL 1,"46 BUKIDNON ST., BAGO BANTAY,",QUEZON CITY,P,"DR. MONTANO G. RAMOS GENERAL
HOSPITAL CORPORATION, 46 BUKIDNON ST., BAGO BANTAY,, QUEZON CITY",dr. montano g. ramos general hospital corporation 46 bukidnon street. bago bantay quezon city metro manila philippines,"DR. MONTANO G. RAMOS GENERAL
HOSPITAL CORPORATION, 46 BUKIDNON ST., BAGO BANTAY,, QUEZON CITY, Metro Manila, Philippines",,,,,
EAST AVENUE MEDICAL CENTER,1000,LEVEL 3,"EAST AVENUE, DILIMAN,",QUEZON CITY,G,"EAST AVENUE MEDICAL CENTER, EAST AVENUE, DILIMAN,, QUEZON CITY",east avenue medical center east avenue diliman quezon city metro manila philippines,,14.6421432,121.0479837,google,"J2RX+V55, East Ave, Diliman, Quezon City, 1100 Metro Manila, Philippines",CLEANED|GEOMETRIC_CENTER
"F.Y. MANALO MEDICAL FOUNDATION, INC.",100,LEVEL 2,"COMMONWEALTH AVE., COR. TANDANG SORA AVE.,",QUEZON CITY,P,"F.Y. MANALO MEDICAL FOUNDATION, INC., COMMONWEALTH AVE., COR. TANDANG SORA AVE.,, QUEZON CITY",f.y. manalo medical foundation inc. commonwealth avenue. cor. tandang sora avenue. quezon city metro manila philippines,"F.Y. MANALO MEDICAL FOUNDATION, INC., COMMONWEALTH AVE., COR. TANDANG SORA AVE.,, QUEZON CITY, Metro Manila, Philippines",,,,,
"FAIRVIEW GENERAL HOSPITAL, INC.",30,LEVEL 1,"LOT 20 COR. MERCURY ST., FAIRVIEW,",QUEZON CITY,P,"FAIRVIEW GENERAL HOSPITAL, INC., LOT 20 COR. MERCURY ST., FAIRVIEW,, QUEZON CITY",fairview general hospital inc. 20 cor. mercury street. fairview quezon city metro manila philippines,"FAIRVIEW GENERAL HOSPITAL, INC., LOT 20 COR. MERCURY ST., FAIRVIEW,, QUEZON CITY, Metro Manila, Philippines",,,,,
"FEU-DR. NICANOR REYES MEDICAL
FOUNDATION, INC.",300,LEVEL 3,"REGALADO AVENUE COR. DAHLIA,
WEST FAIRVIEW,",QUEZON CITY,P,"FEU-DR. NICANOR REYES MEDICAL
FOUNDATION, INC., REGALADO AVENUE COR. DAHLIA,
WEST FAIRVIEW,, QUEZON CITY",feu-dr. nicanor reyes medical foundation inc. regalado avenue cor. dahlia west fairview quezon city metro manila philippines,"FEU-DR. NICANOR REYES MEDICAL
FOUNDATION, INC., REGALADO AVENUE COR. DAHLIA,
WEST FAIRVIEW,, QUEZON CITY, Metro Manila, Philippines",,,,,
GARCIA GENERAL HOSPITAL,24,LEVEL 1,"49 BAYAN-BAYANAN AVE., MARIKINA HEIGHTS, CONCEPCION,",MARIKINA CITY,P,"GARCIA GENERAL HOSPITAL, 49 BAYAN-BAYANAN AVE., MARIKINA HEIGHTS, CONCEPCION,, MARIKINA CITY",garcia general hospital 49 bayan-bayanan avenue. marikina heights concepcion marikina city metro manila philippines,,14.6512038,121.1110689,google,"49 Bayan-Bayanan Ave, Marikina, 1800 Metro Manila, Philippines",CLEANED|ROOFTOP
"GEN. MIGUEL MALVAR MEDICAL RESEARCH
FOUNDATION, INC.",46,LEVEL 1,"531 COMMONWEALTH AVENUE,",QUEZON CITY,P,"GEN. MIGUEL MALVAR MEDICAL RESEARCH
FOUNDATION, INC., 531 COMMONWEALTH AVENUE,, QUEZON CITY",gen. miguel malvar medical research foundation inc. 531 commonwealth avenue quezon city metro manila philippines,"GEN. MIGUEL MALVAR MEDICAL RESEARCH
FOUNDATION, INC., 531 COMMONWEALTH AVENUE,, QUEZON CITY, Metro Manila, Philippines",,,,,
LUNG CENTER OF THE PHILIPPINES,237,LEVEL 3,"QUEZON AVENUE,",QUEZON CITY,G,"LUNG CENTER OF THE PHILIPPINES, QUEZON AVENUE,, QUEZON CITY",lung center of the philippines quezon avenue quezon city metro manila philippines,,14.6477279,121.0452136,google,"Quezon Ave, Diliman, Quezon City, 1100 Metro Manila, Philippines",CLEANED|GEOMETRIC_CENTER
"MARIKINA ST. VINCENT GENERAL HOSPITAL,
INC.",90,LEVEL 2,"35 BAYAN-BAYANAN AVENUE,
CONCEPCION UNO,",MARIKINA CITY,P,"MARIKINA ST. VINCENT GENERAL HOSPITAL,
INC., 35 BAYAN-BAYANAN AVENUE,
CONCEPCION UNO,, MARIKINA CITY",marikina street. vincent general hospital inc. 35 bayan-bayanan avenue concepcion uno marikina city metro manila philippines,"MARIKINA ST. VINCENT GENERAL HOSPITAL,
INC., 35 BAYAN-BAYANAN AVENUE,
CONCEPCION UNO,, MARIKINA CITY, Metro Manila, Philippines",14.6511832,121.1073128,google,"35 Bayan-Bayanan Ave, Marikina, 1800 Metro Manila, Philippines",FALLBACK_FULL|ROOFTOP
MARIKINA VALLEY MEDICAL CENTER,151,LEVEL 2,"SUMULONG HIGHWAY COR.
AGUINALDO ST., BRGY. STO. NIÑO,",MARIKINA CITY,P,"MARIKINA VALLEY MEDICAL CENTER, SUMULONG HIGHWAY COR.
AGUINALDO ST., BRGY. STO. NIÑO,, MARIKINA CITY",marikina valley medical center sumulong highway cor. aguinaldo street. barangay. sto. nino marikina city metro manila philippines,"MARIKINA VALLEY MEDICAL CENTER, SUMULONG HIGHWAY COR.
AGUINALDO ST., BRGY. STO. NIÑO,, MARIKINA CITY, Metro Manila, Philippines",,,,,
"METRO NORTH MEDICAL CENTER AND HOSPITAL, INC.",80,LEVEL 2,"1001 MINDANAO AVE., BRGY. BAHAY TORO,",QUEZON CITY,P,"METRO NORTH MEDICAL CENTER AND HOSPITAL, INC., 1001 MINDANAO AVE., BRGY. BAHAY TORO,, QUEZON CITY",metro north medical center and hospital inc. 1001 mindanao avenue. barangay. bahay toro quezon city metro manila philippines,"METRO NORTH MEDICAL CENTER AND HOSPITAL, INC., 1001 MINDANAO AVE., BRGY. BAHAY TORO,, QUEZON CITY, Metro Manila, Philippines",,,,,
NATIONAL CHILDREN'S HOSPITAL,250,LEVEL 3,"264 E. RODRIGUEZ SR. BOULEVARD,",QUEZON CITY,G,"NATIONAL CHILDREN'S HOSPITAL, 264 E. RODRIGUEZ SR. BOULEVARD,, QUEZON CITY",national children's hospital 264 e. rodriguez sr. boulevard quezon city metro manila philippines,"NATIONAL CHILDREN'S HOSPITAL, 264 E. RODRIGUEZ SR. BOULEVARD,, QUEZON CITY, Metro Manila, Philippines",,,,,
"NATIONAL KIDNEY AND TRANSPLANT
INSTITUTE",315,LEVEL 3,"EAST AVENUE, DILIMAN,",QUEZON CITY,G,"NATIONAL KIDNEY AND TRANSPLANT
INSTITUTE, EAST AVENUE, DILIMAN,, QUEZON CITY",national kidney and transplant institute east avenue diliman quezon city metro manila philippines,,14.6473447,121.0473288,google,"J2WW+WWP, East Ave, Diliman, Quezon City, 1101 Metro Manila, Philippines",CLEANED|GEOMETRIC_CENTER
NOVALICHES DISTRICT HOSPITAL,30,LEVEL 1,"QUIRINO HIGHWAY, SAN BARTOLOME,
NOVALICHES,",QUEZON CITY,G,"NOVALICHES DISTRICT HOSPITAL, QUIRINO HIGHWAY, SAN BARTOLOME,
NOVALICHES,, QUEZON CITY",novaliches district hospital quirino highway san bartolome novaliches quezon city metro manila philippines,"NOVALICHES DISTRICT HOSPITAL, QUIRINO HIGHWAY, SAN BARTOLOME,
NOVALICHES,, QUEZON CITY, Metro Manila, Philippines",,,,,
"NOVALICHES GENERAL HOSPITAL AND
MEDICAL CENTER, INC.",60,LEVEL 2,"793 QUIRINO HIGHWAY, BRGY.
GULOD, NOVALICHES,",QUEZON CITY,P,"NOVALICHES GENERAL HOSPITAL AND
MEDICAL CENTER, INC., 793 QUIRINO HIGHWAY, BRGY.
GULOD, NOVALICHES,, QUEZON CITY",novaliches general hospital and medical center inc. 793 quirino highway barangay. gulod novaliches quezon city metro manila philippines,"NOVALICHES GENERAL HOSPITAL AND
MEDICAL CENTER, INC., 793 QUIRINO HIGHWAY, BRGY.
GULOD, NOVALICHES,, QUEZON CITY, Metro Manila, Philippines",,,,,
"P. GONZALES MEMORIAL HOSPITAL, INC",8,INF/DISP,"582 J.P. RIZAL ST., LAMUAN,
MALANDAY,",MARIKINA CITY,P,"P. GONZALES MEMORIAL HOSPITAL, INC, 582 J.P. RIZAL ST., LAMUAN,
MALANDAY,, MARIKINA CITY",p. gonzales memorial hospital inc 582 j.p. rizal street. lamuan malanday marikina city metro manila philippines,"P. GONZALES MEMORIAL HOSPITAL, INC, 582 J.P. RIZAL ST., LAMUAN,
MALANDAY,, MARIKINA CITY, Metro Manila, Philippines",,,,,
"PACIFIC GLOBAL MEDICAL CENTER, INC.",100,LEVEL 2,"LOT 2B, MINDANAO AVENUE, BRGY.
TALIPAPA, NOVALICHES,",QUEZON CITY,P,"PACIFIC GLOBAL MEDICAL CENTER, INC., LOT 2B, MINDANAO AVENUE, BRGY.
TALIPAPA, NOVALICHES,, QUEZON CITY",pacific global medical center inc. 2b mindanao avenue barangay. talipapa novaliches quezon city metro manila philippines,"PACIFIC GLOBAL MEDICAL CENTER, INC., LOT 2B, MINDANAO AVENUE, BRGY.
TALIPAPA, NOVALICHES,, QUEZON CITY, Metro Manila, Philippines",,,,,
PASCUAL GENERAL HOSPITAL,12,INF/DISP,"130 M. PASCUAL ST., QUIRINO
HIGHWAY, BAESA,",QUEZON CITY,P,"PASCUAL GENERAL HOSPITAL, 130 M. PASCUAL ST., QUIRINO
HIGHWAY, BAESA,, QUEZON CITY",pascual general hospital 130 m. pascual street. quirino highway baesa quezon city metro manila philippines,,14.666991,121.0090838,google,"130 Quirino Hwy, Quezon City, 1106 Metro Manila, Philippines",CLEANED|ROOFTOP
PHILIPPINE CHILDREN'S MEDICAL CENTER,200,LEVEL 3,"QUEZON AVENUE CORNER AGHAM ROAD, DILIMAN,",QUEZON CITY,G,"PHILIPPINE CHILDREN'S MEDICAL CENTER, QUEZON AVENUE CORNER AGHAM ROAD, DILIMAN,, QUEZON CITY",philippine children's medical center quezon avenue corner agham road diliman quezon city metro manila philippines,"PHILIPPINE CHILDREN'S MEDICAL CENTER, QUEZON AVENUE CORNER AGHAM ROAD, DILIMAN,, QUEZON CITY, Metro Manila, Philippines",,,,,
PHILIPPINE HEART CENTER,574,LEVEL 3,"EAST AVENUE, DILIMAN,",QUEZON CITY,G,"PHILIPPINE HEART CENTER, EAST AVENUE, DILIMAN,, QUEZON CITY",philippine heart center east avenue diliman quezon city metro manila philippines,,14.6441499,121.0481468,google,"J2VX+M72, East Ave, Diliman, Quezon City, Metro Manila, Philippines",CLEANED|GEOMETRIC_CENTER
PHILIPPINE ORTHOPEDIC CENTER,700,LEVEL 3,"MA. CLARA ST. COR. BANAWE STS.,",QUEZON CITY,G,"PHILIPPINE ORTHOPEDIC CENTER, MA. CLARA ST. COR. BANAWE STS.,, QUEZON CITY",philippine orthopedic center ma. clara street. cor. banawe sts. quezon city metro manila philippines,"PHILIPPINE ORTHOPEDIC CENTER, MA. CLARA ST. COR. BANAWE STS.,, QUEZON CITY, Metro Manila, Philippines",,,,,
PNP GENERAL HOSPITAL,176,LEVEL 2,"CAMP CRAME,",QUEZON CITY,G,"PNP GENERAL HOSPITAL, CAMP CRAME,, QUEZON CITY",pnp general hospital camp crame quezon city metro manila philippines,,14.6098344,121.0525607,google,"J353+W2M, Quezon City, 1111 Metro Manila, Philippines",CLEANED|GEOMETRIC_CENTER
"PROVIDENCE HOSPITAL, INC.",75,LEVEL 2,"1515 QUEZON AVENUE, WEST
TRIANGLE,",QUEZON CITY,P,"PROVIDENCE HOSPITAL, INC., 1515 QUEZON AVENUE, WEST
TRIANGLE,, QUEZON CITY",providence hospital inc. 1515 quezon avenue west triangle quezon city metro manila philippines,"PROVIDENCE HOSPITAL, INC., 1515 QUEZON AVENUE, WEST
TRIANGLE,, QUEZON CITY, Metro Manila, Philippines",,,,,
QUEZON CITY GENERAL HOSPITAL,250,LEVEL 3,"SEMINARY ROAD, BRGY. BAHAY TORO, PROJECT 8, EDSA",QUEZON CITY,G,"QUEZON CITY GENERAL HOSPITAL, SEMINARY ROAD, BRGY. BAHAY TORO, PROJECT 8, EDSA, QUEZON CITY",quezon city general hospital seminary road barangay. bahay toro project 8 edsa quezon city metro manila philippines,"QUEZON CITY GENERAL HOSPITAL, SEMINARY ROAD, BRGY. BAHAY TORO, PROJECT 8, EDSA, QUEZON CITY, Metro Manila, Philippines",,,,,
QUIRINO MEMORIAL MEDICAL CENTER,599,LEVEL 3,"KATIPUNAN ROAD, PROJECT 4,",QUEZON CITY,G,"QUIRINO MEMORIAL MEDICAL CENTER, KATIPUNAN ROAD, PROJECT 4,, QUEZON CITY",quirino memorial medical center katipunan road project 4 quezon city metro manila philippines,,14.6222558,121.0728482,google,"J3CF+W45, J.P. Rizal, Project 4, Quezon City, 1109 Kalakhang Maynila, Philippines",CLEANED|GEOMETRIC_CENTER
"ROSARIO MACLANG BAUTISTA GENERAL
HOSPITAL",107,LEVEL 2,"IBP ROAD, BATASAN HILLS, DISTRICT 2,",QUEZON CITY,G,"ROSARIO MACLANG BAUTISTA GENERAL
HOSPITAL, IBP ROAD, BATASAN HILLS, DISTRICT 2,, QUEZON CITY",rosario maclang bautista general hospital ibp road batasan hills district 2 quezon city metro manila philippines,"ROSARIO MACLANG BAUTISTA GENERAL
HOSPITAL, IBP ROAD, BATASAN HILLS, DISTRICT 2,, QUEZON CITY, Metro Manila, Philippines",,,,,
SAN JUAN MEDICAL CENTER,150,LEVEL 2,"N. DOMINGO ST.,",SAN JUAN,G,"SAN JUAN MEDICAL CENTER, N. DOMINGO ST.,, SAN JUAN",san juan medical center n. domingo street. san juan metro manila philippines,,14.6063348,121.0235621,google,"71 N. Domingo, San Juan City, 1500 Metro Manila, Philippines",CLEANED|ROOFTOP
"SAN LORENZO HOSPITAL HEALTH
MANAGEMENT CO., INC.",18,LEVEL 1,"QUIRINO HIGHWAY, BRGY. PASONG
PUTIK, NOVALICHES,",QUEZON CITY,P,"SAN LORENZO HOSPITAL HEALTH
MANAGEMENT CO., INC., QUIRINO HIGHWAY, BRGY. PASONG
PUTIK, NOVALICHES,, QUEZON CITY",san lorenzo hospital health management co. inc. quirino highway barangay. pasong putik novaliches quezon city metro manila philippines,"SAN LORENZO HOSPITAL HEALTH
MANAGEMENT CO., INC., QUIRINO HIGHWAY, BRGY. PASONG
PUTIK, NOVALICHES,, QUEZON CITY, Metro Manila, Philippines",,,,,
"SDS MEDICAL CENTER, INC.",22,LEVEL 1,"KATIPUNAN RD. COR. PIO DEL PILAR
ST., CONCEPCION 2,",MARIKINA CITY,P,"SDS MEDICAL CENTER, INC., KATIPUNAN RD. COR. PIO DEL PILAR
ST., CONCEPCION 2,, MARIKINA CITY",sds medical center inc. katipunan road. cor. pio del pilar street. concepcion 2 marikina city metro manila philippines,"SDS MEDICAL CENTER, INC., KATIPUNAN RD. COR. PIO DEL PILAR
ST., CONCEPCION 2,, MARIKINA CITY, Metro Manila, Philippines",,,,,
"ST. ANTHONY MEDICAL CENTER OF
MARIKINA, INC.",34,LEVEL 2,"32 STA. ANA EXT. COR. BETELNUT, SAN
ROQUE,",MARIKINA CITY,P,"ST. ANTHONY MEDICAL CENTER OF
MARIKINA, INC., 32 STA. ANA EXT. COR. BETELNUT, SAN
ROQUE,, MARIKINA CITY",street. anthony medical center of marikina inc. 32 sta. ana ext. cor. betelnut san roque marikina city metro manila philippines,"ST. ANTHONY MEDICAL CENTER OF
MARIKINA, INC., 32 STA. ANA EXT. COR. BETELNUT, SAN
ROQUE,, MARIKINA CITY, Metro Manila, Philippines",,,,,
ST. LUKE'S MEDICAL CENTER,509,LEVEL 3,"279 E. RODRIGUEZ SR. BLVD.,",QUEZON CITY,P,"ST. LUKE'S MEDICAL CENTER, 279 E. RODRIGUEZ SR. BLVD.,, QUEZON CITY",street. luke's medical center 279 e. rodriguez sr. boulevard. quezon city metro manila philippines,"ST. LUKE'S MEDICAL CENTER, 279 E. RODRIGUEZ SR. BLVD.,, QUEZON CITY, Metro Manila, Philippines",,,,,
ST. VICTORIA HOSPITAL,30,LEVEL 1,"444 J.P. RIZAL ST., BRGY. STO. NIÑO,
DISTRICT 1,",MARIKINA CITY,P,"ST. VICTORIA HOSPITAL, 444 J.P. RIZAL ST., BRGY. STO. NIÑO,
DISTRICT 1,, MARIKINA CITY",street. victoria hospital 444 j.p. rizal street. barangay. sto. nino district 1 marikina city metro manila philippines,"ST. VICTORIA HOSPITAL, 444 J.P. RIZAL ST., BRGY. STO. NIÑO,
DISTRICT 1,, MARIKINA CITY, Metro Manila, Philippines",,,,,
UNITED DOCTORS MEDICAL CENTER,30,LEVEL 2,"6 N. RAMIREZ ST., BRGY. DON
MANUEL,",QUEZON CITY,P,"UNITED DOCTORS MEDICAL CENTER, 6 N. RAMIREZ ST., BRGY. DON
MANUEL,, QUEZON CITY",united doctors medical center 6 n. ramirez street. barangay. don manuel quezon city metro manila philippines,"UNITED DOCTORS MEDICAL CENTER, 6 N. RAMIREZ ST., BRGY. DON
MANUEL,, QUEZON CITY, Metro Manila, Philippines",,,,,
"UNIVERSITY OF THE EAST RAMON
MAGSAYSAY MEMORIAL MEDICAL CENTER, INC.",307,LEVEL 3,"AURORA BLVD.,",QUEZON CITY,P,"UNIVERSITY OF THE EAST RAMON
MAGSAYSAY MEMORIAL MEDICAL CENTER, INC., AURORA BLVD.,, QUEZON CITY",university of the east ramon magsaysay memorial medical center inc. aurora boulevard. quezon city metro manila philippines,"UNIVERSITY OF THE EAST RAMON
MAGSAYSAY MEMORIAL MEDICAL CENTER, INC., AURORA BLVD.,, QUEZON CITY, Metro Manila, Philippines",,,,,
UP HEALTH SERVICE,25,INF/DISP,"J.P. LAUREL ST., U.P. CAMPUS,
DILIMAN,",QUEZON CITY,G,"UP HEALTH SERVICE, J.P. LAUREL ST., U.P. CAMPUS,
DILIMAN,, QUEZON CITY",up health service j.p. laurel street. u.p. campus diliman quezon city metro manila philippines,,14.659808,121.0708626,google,"University Health Service, Laurel Ave, Diliman, Quezon City, Metro Manila, Philippines",CLEANED|ROOFTOP
"UROLOGY CENTER OF THE PHILIPPINES, INC.",16,LEVEL 1,"62 MAGINOO ST., DILIMAN,",QUEZON CITY,P,"UROLOGY CENTER OF THE PHILIPPINES, INC., 62 MAGINOO ST., DILIMAN,, QUEZON CITY",urology center of the philippines inc. 62 maginoo street. diliman quezon city metro manila philippines,,14.6420486,121.0535458,google,"62 Maginoo, Diliman, Quezon City, Metro Manila, Philippines",CLEANED|ROOFTOP
VETERANS MEMORIAL MEDICAL CENTER,766,LEVEL 3,"NORTH AVENUE, DILIMAN,",QUEZON CITY,G,"VETERANS MEMORIAL MEDICAL CENTER, NORTH AVENUE, DILIMAN,, QUEZON CITY",veterans memorial medical center north avenue diliman quezon city metro manila philippines,,14.6561184,121.0400556,google,"M24R+C2V, North Ave, Diliman, Quezon City, Metro Manila, Philippines",CLEANED|GEOMETRIC_CENTER
